Response,salt_percentage,lipid_percentage,pH,Temp
-5.55,0%,0%,3,0
-5.15,1%,0%,3,0
-5.05,0%,5%,3,0
-5.22,2%,0%,3,0
-5.17,1%,5%,3,0
-4.81,3%,0%,3,0
-5.46,0%,10%,3,0
-1.58,2%,5%,3,0
-4.94,4%,0%,3,0
-5.12,1%,10%,3,0
-4.94,3%,5%,3,0
-1.88,0%,15%,3,0
-1.58,2%,10%,3,0
-4.7,4%,5%,3,0
0.55,1%,15%,3,0
-1.12,3%,10%,3,0
-0.34,0%,20%,3,0
1.29,2%,15%,3,0
1.31,4%,10%,3,0
1.03,1%,20%,3,0
0.76,3%,15%,3,0
1.1,2%,20%,3,0
0.84,4%,15%,3,0
0.76,3%,20%,3,0
1.08,4%,20%,3,0
-1.51,0%,0%,2,0
0.96,1%,0%,2,0
-1.46,0%,5%,2,0
-1.4,2%,0%,2,0
-1.43,1%,5%,2,0
-1.29,3%,0%,2,0
0.87,0%,10%,2,0
-1.38,2%,5%,2,0
1.15,4%,0%,2,0
-0.94,1%,10%,2,0
1.58,3%,5%,2,0
1.23,0%,15%,2,0
1.21,2%,10%,2,0
1.01,4%,5%,2,0
1.23,1%,15%,2,0
1.55,3%,10%,2,0
1.87,0%,20%,2,0
1.38,2%,15%,2,0
1.23,4%,10%,2,0
1.22,1%,20%,2,0
1.31,3%,15%,2,0
1.31,2%,20%,2,0
1.58,4%,15%,2,0
1.58,3%,20%,2,0
1.71,4%,20%,2,0
1.28,0%,0%,1,0
0.35,1%,0%,1,0
1.09,0%,5%,1,0
-0.84,2%,0%,1,0
-0.75,1%,5%,1,0
1.26,3%,0%,1,0
0.96,0%,10%,1,0
1.25,2%,5%,1,0
1.56,4%,0%,1,0
0.76,1%,10%,1,0
1.19,3%,5%,1,0
1.41,0%,15%,1,0
0.93,2%,10%,1,0
1.47,4%,5%,1,0
1.62,1%,15%,1,0
1.76,3%,10%,1,0
1.73,0%,20%,1,0
0.96,2%,15%,1,0
1.57,4%,10%,1,0
1.65,1%,20%,1,0
0.89,3%,15%,1,0
1.62,2%,20%,1,0
1.19,4%,15%,1,0
1.6,3%,20%,1,0
0.96,4%,20%,1,0
1.29,0%,0%,0,0
1.56,1%,0%,0,0
1.61,0%,5%,0,0
1.4,2%,0%,0,0
1.38,1%,5%,0,0
1.32,3%,0%,0,0
1.57,0%,10%,0,0
1.39,2%,5%,0,0
0.81,4%,0%,0,0
1.42,1%,10%,0,0
0.76,3%,5%,0,0
1.56,0%,15%,0,0
1.46,2%,10%,0,0
0.8,4%,5%,0,0
1.52,1%,15%,0,0
1.48,3%,10%,0,0
1.35,0%,20%,0,0
1.47,2%,15%,0,0
1.4,4%,10%,0,0
1.69,1%,20%,0,0
1.35,3%,15%,0,0
1.54,2%,20%,0,0
1.46,4%,15%,0,0
1.49,3%,20%,0,0
1.15,4%,20%,0,0
-5.1,0%,0%,3,1
-5.07,1%,0%,3,1
-5.35,0%,5%,3,1
-2.08,2%,0%,3,1
-1.78,1%,5%,3,1
-1.74,3%,0%,3,1
-5.46,0%,10%,3,1
-1.78,2%,5%,3,1
-1.55,4%,0%,3,1
-1.88,1%,10%,3,1
-1.52,3%,5%,3,1
-1.57,0%,15%,3,1
-1.48,2%,10%,3,1
-1.35,4%,5%,3,1
0.55,1%,15%,3,1
-1.57,3%,10%,3,1
0.34,0%,20%,3,1
1.45,2%,15%,3,1
-1.63,4%,10%,3,1
0.62,1%,20%,3,1
1.03,3%,15%,3,1
1.39,2%,20%,3,1
1.04,4%,15%,3,1
0.9,3%,20%,3,1
1.04,4%,20%,3,1
2.2,0%,0%,2,1
-1.47,1%,0%,2,1
-1.5,0%,5%,2,1
-1.71,2%,0%,2,1
-1.68,1%,5%,2,1
-1.54,3%,0%,2,1
0.85,0%,10%,2,1
-1.73,2%,5%,2,1
0.25,4%,0%,2,1
0.7,1%,10%,2,1
-1.35,3%,5%,2,1
1.3,0%,15%,2,1
0.72,2%,10%,2,1
-1.63,4%,5%,2,1
1.04,1%,15%,2,1
1.08,3%,10%,2,1
1.45,0%,20%,2,1
0.88,2%,15%,2,1
0.8,4%,10%,2,1
0.43,1%,20%,2,1
1.3,3%,15%,2,1
1.2,2%,20%,2,1
1.06,4%,15%,2,1
1.38,3%,20%,2,1
1.18,4%,20%,2,1
1,0%,0%,1,1
-0.01,1%,0%,1,1
0.53,0%,5%,1,1
-1.63,2%,0%,1,1
-0.01,1%,5%,1,1
-1.44,3%,0%,1,1
-0.03,0%,10%,1,1
0.05,2%,5%,1,1
0.09,4%,0%,1,1
0.36,1%,10%,1,1
0.7,3%,5%,1,1
0.82,0%,15%,1,1
-0.44,2%,10%,1,1
0.16,4%,5%,1,1
0.51,1%,15%,1,1
0.2,3%,10%,1,1
0.16,0%,20%,1,1
0.77,2%,15%,1,1
0.56,4%,10%,1,1
-0.01,1%,20%,1,1
0.37,3%,15%,1,1
0.3,2%,20%,1,1
1.29,4%,15%,1,1
0.83,3%,20%,1,1
1.31,4%,20%,1,1
0.9,0%,0%,0,1
0.88,1%,0%,0,1
1.1,0%,5%,0,1
0.86,2%,0%,0,1
0.78,1%,5%,0,1
0.67,3%,0%,0,1
0.84,0%,10%,0,1
0.71,2%,5%,0,1
0.49,4%,0%,0,1
1.17,1%,10%,0,1
0.76,3%,5%,0,1
1.43,0%,15%,0,1
1.24,2%,10%,0,1
0.56,4%,5%,0,1
1.43,1%,15%,0,1
1.17,3%,10%,0,1
1.36,0%,20%,0,1
1.27,2%,15%,0,1
0.44,4%,10%,0,1
1.3,1%,20%,0,1
1.23,3%,15%,0,1
0.69,2%,20%,0,1
0.5,4%,15%,0,1
1.29,3%,20%,0,1
0.57,4%,20%,0,1
-6.1,0%,0%,3,2
-6.22,1%,0%,3,2
-6.4,0%,5%,3,2
1.65,2%,0%,3,2
-6.19,1%,5%,3,2
1.95,3%,0%,3,2
-5.7,0%,10%,3,2
-2.52,2%,5%,3,2
0.82,4%,0%,3,2
0.74,1%,10%,3,2
-2,3%,5%,3,2
0.9,0%,15%,3,2
2.3,2%,10%,3,2
1.1,4%,5%,3,2
1.1,1%,15%,3,2
