Species,Jan,Total,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,All others,,,,,,,,,,,,,
Jan,Netting nights,17,16,15,11,8,3,6,17,,,,,,,,,,,,,
Jan,# caught,595,261,87,19,30,3,44,151,,,,,,,,,,,,,
Feb,Netting nights,6,1,0,1,0,0,0,6,,,,,,,,,,,,,
Feb,# caught,35,8,0,1,0,0,0,26,,,,,,,,,,,,,
Mar,Netting nights,17,17,11,13,4,6,6,17,,,,,,,,,,,,,
Mar,# caught,804,456,55,24,15,21,10,223,,,,,,,,,,,,,
Apr,Netting nights,10,10,9,8,4,2,2,10,,,,,,,,,,,,,
Apr,# caught,1066,790,64,23,25,2,2,160,,,,,,,,,,,,,
May,Netting nights,17,17,12,12,5,4,3,17,,,,,,,,,,,,,
May,# caught,762,474,32,30,7,9,8,202,,,,,,,,,,,,,
Jun,Netting nights,5,5,3,3,2,0,0,5,,,,,,,,,,,,,
Jun,# caught,438,334,7,7,4,0,0,86,,,,,,,,,,,,,
Sep,Netting nights,20,20,18,14,2,8,7,20,,,,,,,,,,,,,
Sep,# caught,1418,1024,41,28,2,16,24,283,,,,,,,,,,,,,
Oct,Netting nights,21,21,18,18,9,9,6,21,,,,,,,,,,,,,
Oct,# caught,1594,884,63,46,160,111,13,317,,,,,,,,,,,,,
Nov,Netting nights,34,34,25,22,25,4,7,34,,,,,,,,,,,,,
Nov,# caught,1976,937,305,47,307,6,24,350,,,,,,,,,,,,,
Dec,Netting nights,10,10,9,6,1,3,3,10,,,,,,,,,,,,,
Dec,# caught,430,316,63,10,1,4,5,31,,,,,,,,,,,,,
Total,Netting nights,157,151,120,108,60,39,40,157,,,,,,,,,,,,,
Total,# caught,9118,5484,717,235,551,172,130,1829,,,,,,,,,,,,,
