Total Sp count,Skippers_Family,Swallow_tails_Family,Whites & Yellows,Blues,Brush Footed
1439,307,94,99,458,482
417,63,31,42,129,152
228,25,23,37,56,87
299,41,21,34,88,115
148,22,11,19,42,54
323,54,23,32,88,126
146,14,10,13,44,65
371,52,26,37,109,147
623,125,43,49,185,221
962,211,69,57,284,342
853,189,62,52,258,292
690,159,55,51,162,263
262,27,29,32,48,126
423,67,38,30,110,178
321,119,18,1,126,57
510,98,42,36,128,207
596,132,49,40,166,209
276,59,13,26,77,101
167,32,10,19,57,49
124,18,9,12,46,39
151,19,10,23,38,61
109,15,7,19,33,35
77,11,4,20,22,20
110,12,4,29,31,34
78,14,6,21,20,17
78,11,5,19,22,21
59,4,5,18,17,15
145,22,10,25,46,42
164,19,10,50,41,44
130,23,11,19,35,42
223,54,16,21,66,66
278,60,18,31,80,89
140,20,9,25,50,36
220,37,15,26,58,84
249,46,15,30,83,75
294,64,23,35,82,90
117,23,12,21,31,30
70,7,5,14,20,24
217,42,13,20,68,74
242,48,15,29,82,68
320,65,24,26,81,124
159,21,15,21,42,60
228,28,16,25,64,95
788,189,50,40,272,237
