P/A,Sanctuary,Predator,tissue,SEX,YEAR
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,M,2001
Presence_of_Sarcocystis,Tadoba,non wild dog,heart,M,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,M,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,2001
Presence_of_Sarcocystis,Tadoba,non wild dog,heart,F,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,heart,F,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,M,2001
Absence_of_Sarcocystis,Tadoba,non wild dog,heart,M,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,M,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,heart,M,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,M,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,heart,F,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,heart,M,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,M,2000
Presence_of_Sarcocystis,Tadoba,wild dog ,heart,M,1999
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,1999
Presence_of_Sarcocystis,Tadoba,wild dog ,heart,M,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,heart,F,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,F,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,2001
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,F,2001
Presence_of_Sarcocystis,Tadoba,wild dog ,heart,F,2001
Absence_of_Sarcocystis,Tadoba,wild dog ,heart,F,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,F,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,heart,M,2000
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,2000
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,1999
Presence_of_Sarcocystis,Tadoba,non wild dog,heart,F,1999
Presence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,1999
Absence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,1999
Presence_of_Sarcocystis,Tadoba,non wild dog,heart,F,1999
Presence_of_Sarcocystis,Tadoba,non wild dog,skeletal,F,1999
Presence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,1999
Presence_of_Sarcocystis,Tadoba,wild dog ,heart,M,1999
Presence_of_Sarcocystis,Tadoba,wild dog ,skeletal,M,1999
Absence_of_Sarcocystis,Tadoba,wild dog ,skeletal,NOT KNOWN,1999
Presence_of_Sarcocystis,Tadoba,wild dog ,heart,M,1999
Presence_of_Sarcocystis,Tadoba,wild dog ,skeletal,F,1999
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,NOT KNOWN,1999
Absence_of_Sarcocystis,mudumalai,non wild dog,skeletal,F,1999
Presence_of_Sarcocystis,mudumalai,non wild dog,skeletal,M,1999
Presence_of_Sarcocystis,mudumalai,wild dog ,heart,M,1991
Presence_of_Sarcocystis,mudumalai,wild dog ,heart,M,1991
Presence_of_Sarcocystis,mudumalai,wild dog ,heart,M,1992
Presence_of_Sarcocystis,mudumalai,wild dog ,heart,F,1992
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,M,1991
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,M,1991
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,F,1992
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,M,1992
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,F,1992
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,F,1992
Presence_of_Sarcocystis,mudumalai,wild dog ,skeletal,M,1992
Absence_of_Sarcocystis,mudumalai,non wild dog,heart,NOT KNOWN,1990
Absence_of_Sarcocystis,mudumalai,non wild dog,heart,F,1990
Presence_of_Sarcocystis,mudumalai,non wild dog,heart,F,1992
Absence_of_Sarcocystis,mudumalai,non wild dog,skeletal,NOT KNOWN,1990
Presence_of_Sarcocystis,mudumalai,non wild dog,skeletal,M,1991
Absence_of_Sarcocystis,mudumalai,non wild dog,skeletal,M,1991
Absence_of_Sarcocystis,mudumalai,non wild dog,skeletal,F,1990
Presence_of_Sarcocystis,mudumalai,non wild dog,skeletal,M,1992
