change in grade of crack,change in length of crack,change in grade of crack
-0.33,-0.32,Right Heel
-1.33,-0.61,Right Heel
-3.06,-1.04,Right Heel
-1.92,-0.31,Right Heel
-2.00,-0.27,Right Heel
-1.29,-0.39,Right Heel
-1.22,-0.18,Right Heel
-1.56,-0.93,Right Heel
-1.00,-0.13,Right Heel
-1.25,-0.21,Right Heel
-1.00,-0.55,Right Heel
-1.86,-1.00,Right Heel
0.00,0.00,Right Heel
-3.44,-1.30,Right Heel
-2.50,-0.43,Right Heel
-1.50,-0.43,Right Heel
-1.40,-0.34,Right Heel
-0.67,-0.36,Left Heel
-0.95,-0.42,Left Heel
-2.64,-0.78,Left Heel
-0.91,-0.24,Left Heel
-1.25,-0.30,Left Heel
-1.33,-0.58,Left Heel
-0.73,-1.01,Left Heel
-1.63,-0.63,Left Heel
-1.50,-0.50,Left Heel
-1.00,-0.44,Left Heel
-1.41,-0.63,Left Heel
-2.00,-1.11,Left Heel
0.00,-0.14,Left Heel
-2.43,-1.24,Left Heel
-2.00,-0.17,Left Heel
-1.44,-0.76,Left Heel
-2.00,-0.47,Left Heel
