Variety,CO2Fixation,Conductance,IntracellularCO2,RelativeWaterContent_Percentage,PolyEthyleneGlycol Concentration
E36-1,2.72,59.50,337.10,96.80,0.00
E36-1,2.92,89.80,341.30,96.20,0.00
E36-1,3.40,71.00,354.70,95.80,0.00
ICSV 745,8.03,73.20,194.10,94.8,0.00
ICSV 745,7.09,78.30,241.50,96.10,0.00
ICSV 745,6.08,86.10,211.90,92.9,0.00
IS 9830,5.84,61.07,217.5,93.8,0.00
IS 9830,6.02,63.10,210.20,95.00,0.00
IS 9830,5.21,62.56,212.80,97.6,0.00
IS 18551,1.55,45.7,342.2,99.2,0.00
IS 18551,1.78,43.5,326,96.5,0.00
IS 18551,1.92,48,330.8,98,0.00
IS22380,3.90,51.30,274.20,94.30,0.00
IS22380,5.52,53.80,223.90,96.90,0.00
IS22380,4.58,50.90,255.60,98.00,0.00
M35-1,3.42,48.70,253.20,96.80,0.00
M35-1,4.12,53.30,205.70,94.20,0.00
M35-1,5.17,50.20,218.60,96.00,0.00
N13,7.07,62.3,252.9,100,0.00
N13,7.18,87.4,249.6,96.1,0.00
N13,6.68,63,252.9,99,0.00
PB1588-3,8.53,125.5,348.9,95.6,0.00
PB1588-3,6.92,75.6,353.6,97.4,0.00
PB1588-3,7.76,128.5,367.7,97.6,0.00
R 16,8.36,117.5,221.2,97.6,0.00
R 16,6.42,99.1,225.9,100,0.00
R 16,6.97,126.2,260.2,96.3,0.00
Tx7078,4.34,73.50,368.50,99.40,0.00
Tx7078,4.33,69.30,328.40,98.70,0.00
Tx7078,3.2,64.6,380.7,97.4,0.00
296B,6.31,61.8,231,92.1,0.00
296B,7.43,101.3,289.3,96.6,0.00
296B,5.63,109.3,280.3,92.9,0.00
E36-1,6.13,79.30,280.60,97.40,0.05
E36-1,7.52,74.60,224.90,97.80,0.05
E36-1,7.06,63.60,260.10,97.40,0.05
ICSV 745,5.61,58.90,193.40,92.70,0.05
ICSV 745,7.56,85.80,190.30,98.20,0.05
ICSV 745,6.39,69.90,177.30,96.80,0.05
IS 9830,8.78,78.40,199.50,96.70,0.05
IS 9830,6.73,73.50,217.60,94.80,0.05
IS 9830,6.24,77.90,251.10,94.20,0.05
IS 18551,8.85,123.00,227.40,98.90,0.05
IS 18551,9.88,146.80,275.70,96.40,0.05
IS 18551,10.17,127.70,211.50,97.20,0.05
IS22380,6.94,54.10,216.30,95.70,0.05
IS22380,6.90,56.00,221.50,97.20,0.05
IS22380,6.87,56.30,211.90,97.70,0.05
M35-1,7.18,72.60,210.30,97.70,0.05
M35-1,8.57,87.90,241.50,99.50,0.05
M35-1,6.74,72.00,226.80,99.50,0.05
N13,8.06,95.8,272.8,91.4,0.05
N13,8.85,55.4,131.5,97,0.05
N13,5.94,55.3,187.2,94,0.05
PB1588-3,6.92,71.6,387.3,96.2,0.05
PB1588-3,8.99,82.6,353.7,94.8,0.05
PB1588-3,7.19,79.7,360.9,96.7,0.05
R 16,6.1,89.9,225.3,97.1,0.05
R 16,10.6,92.2,234.8,96.7,0.05
R 16,7.8,108.7,315.6,96.3,0.05
Tx7078,4.21,82.7,370.8,98.8,0.05
Tx7078,7.44,105.6,311.6,98.7,0.05
Tx7078,6.56,86,343.2,97.9,0.05
296B,7.87,165.7,380,95.1,0.05
296B,8.94,187.6,312.7,93.9,0.05
296B,6.12,89.3,282.7,91,0.05
E36-1,4.61,48.90,249.30,95.70,0.10
E36-1,5.30,54.70,217.60,94.20,0.10
E36-1,4.32,34.70,225.70,94.20,0.10
ICSV 745,7.84,62.50,152.90,98.90,0.10
ICSV 745,8.77,72.00,155.40,95.50,0.10
ICSV 745,8.06,75.80,175.60,97.00,0.10
IS 9830,3.51,37.10,244.90,91.30,0.10
IS 9830,7.67,62.80,156.60,86.40,0.10
IS 9830,7.99,72.40,169.50,92.50,0.10
IS 18551,7.50,93.60,302.50,97.40,0.10
IS 18551,4.99,65.30,265.30,95.50,0.10
IS 18551,9.18,97.10,236.40,95.90,0.10
IS22380,7.06,52.70,198.40,97.80,0.10
IS22380,6.02,59.70,203.90,95.60,0.10
IS22380,5.60,51.00,195.00,97.20,0.10
M35-1,8.05,61.10,180.90,97.50,0.10
M35-1,6.51,60.80,193.10,95.70,0.10
M35-1,6.76,48.50,182.60,91.00,0.10
N13,6.35,64.6,208.1,88.3,0.10
N13,8.9,73.6,178.5,89.6,0.10
N13,6.86,72.5,213.2,94.3,0.10
PB1588-3,6.65,67.3,270.5,98.1,0.10
PB1588-3,7.73,87.1,227.6,97.3,0.10
PB1588-3,8.64,88,277.1,95.1,0.10
R 16,8.34,71.1,239.7,95.1,0.10
R 16,7.56,61.7,215.9,94.9,0.10
R 16,8.75,64.8,192.2,94.7,0.10
Tx7078,7.98,92.2,235.3,99.4,0.10
Tx7078,7.06,101.8,272.3,98.3,0.10
Tx7078,5.12,69.1,292,96.7,0.10
296B,6.68,83.5,285.3,95.7,0.10
296B,8.26,78.6,213.6,93.3,0.10
296B,8.21,78.4,277.9,92.5,0.10
E36-1,5.83,51.20,185.00,89.10,0.15
E36-1,7.16,83.30,213.60,90.60,0.15
E36-1,6.23,55.60,251.80,91.20,0.15
ICSV 745,7.97,86.10,212.80,95.40,0.15
ICSV 745,6.93,82.30,234.80,96.90,0.15
ICSV 745,4.59,68.10,260.60,91.80,0.15
IS 9830,7.32,54.40,167.10,88.60,0.15
IS 9830,8.43,73.00,207.10,92.10,0.15
IS 9830,7.05,64.90,209.60,94.40,0.15
IS 18551,7.62,55.00,150.60,93.80,0.15
IS 18551,6.39,59.10,226.20,87.20,0.15
IS 18551,4.22,50.30,231.30,93.60,0.15
IS22380,4.85,47.80,210.00,97.70,0.15
IS22380,4.10,41.10,225.10,96.30,0.15
IS22380,4.32,47.80,219.90,95.60,0.15
M35-1,2.63,32.8,258.6,92.8,0.15
M35-1,7.49,65.1,190.6,94.3,0.15
M35-1,6.63,59.2,193.2,90.2,0.15
N13,5.42,69.6,277.8,94.6,0.15
N13,5.29,74.8,257.8,95.1,0.15
N13,5.98,55.7,171.2,92.3,0.15
PB1588-3,5.29,53.6,260.8,96.4,0.15
PB1588-3,5.99,61,265.7,95.6,0.15
PB1588-3,7.91,58.9,235.6,94,0.15
R 16,9.27,84.6,176.6,96.2,0.15
R 16,2.66,32.8,264.9,80.5,0.15
R 16,,,,,0.15
Tx7078,6.27,84.4,235.9,97,0.15
Tx7078,7.33,75.6,215.4,96,0.15
Tx7078,4.33,77.5,309.9,89.3,0.15
296B,7.38,99.7,215.5,90.4,0.15
296B,5.37,83.1,280,92.1,0.15
296B,5.83,84.8,266.7,90.2,0.15
E36-1,3.73,27.00,152.30,85.70,0.20
E36-1,5.85,48.30,202.00,94.30,0.20
E36-1,3.19,32.10,224.10,64.60,0.20
