Soil Type  --->,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Medium,Medium,Medium,Good,Good,Poor,Poor,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Medium,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Poor,Poor,Poor,Medium,Medium,Good,Good,Good,Good,Good,Good
Water Availability ->,NA,NA,Medium,Medium,NA,NA,Medium,Medium,Good,Good,Medium,Medium,NA,NA,Medium,Medium,Good,Good,NA,NA,Medium,Medium,Good,Good,NA,NA,Medium,Medium,Good,Good,NA,NA,Medium,Medium,Medium,Medium,NA,NA,Medium,Medium,Good,Good
Age in Years ->,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Tree,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT,GBH,HT
,5.0,1.95,3.5,1.52,9.0,3.75,23.5,7.00,18.0,7.16,13.0,4.90,10.0,2.85,23.00,8.00,20.0,6.55,9.0,2.45,10.0,4.55,9.0,3.35,12.0,6.69,16,6.30,20,6.50,19.0,5.60,25,7.30,16,6.15,17,5.60,20,6.10,25,9.00
,9.0,3.88,10.1,4.90,12.0,4.00,33.1,7.90,16.0,8.20,16.5,5.20,9.0,2.85,22.50,7.50,15.0,4.55,7.0,2.40,14.0,6.35,7.0,2.65,17.0,5.95,18,6.50,11,6.05,29.0,6.00,14,5.50,11,6.40,16,5.20,20,7.40,29,7.70
,12.0,5.15,5.1,4.15,8.0,3.95,15.0,4.00,13.5,7.36,11.0,4.50,10.0,2.80,13.00,4.45,11.0,3.90,5.0,1.95,14.0,6.40,7.0,2.95,17.5,7.85,17,6.50,18,7.30,23.0,6.00,21,6.50,14,4.10,24,5.40,20,7.50,19,7.00
,13.0,5.88,6.0,3.19,4.0,2.90,21.0,8.55,11.5,7.16,11.5,4.75,6.0,1.85,12.00,5.50,14.0,4.85,4.0,2.35,12.0,5.50,9.0,3.20,17.0,7.29,12,5.80,10,4.85,20.0,5.80,27,7.50,12,4.50,19,5.60,24,8.40,24,8.70
,22.0,6.15,12.8,5.20,10.0,4.25,26.5,7.80,27.0,8.40,8.5,4.10,6.0,2.30,19.50,8.00,9.0,3.70,4.0,1.75,22.0,7.40,3.0,1.45,12.5,4.95,20,6.40,18,7.55,24.0,5.70,22,7.40,11,8.40,23,6.50,19,7.40,20,8.50
,4.0,2.30,12.0,5.20,17.0,5.40,20.4,6.35,18.5,7.80,5.0,3.03,7.0,2.90,21.00,7.50,10.0,3.40,12.0,3.75,21.0,7.50,6.0,2.20,12.0,6.50,13,5.00,22,8.30,22.0,4.80,15,5.60,12,4.50,19,5.70,30,10.40,21,7.50
,11.5,4.60,4.0,3.45,12.0,4.30,15.0,5.55,20.0,9.70,9.0,4.25,10.0,3.50,15.00,6.15,16.0,5.45,11.0,2.85,11.0,5.00,13.0,4.40,16.0,7.28,19,6.45,34,10.80,19.0,4.60,15,4.50,14,5.10,14,5.40,38,11.50,15,6.30
,17.0,4.80,14.0,6.80,4.0,2.57,15.5,5.55,13.0,7.36,8.5,3.70,5.0,1.55,14.50,5.45,29.0,7.40,11.0,2.50,13.0,6.00,12.0,3.40,16.5,7.55,14,5.60,28,9.10,16.0,3.65,17,6.00,16,5.40,15,4.60,19,7.50,17,6.60
