GBH,HT
2,1.15
3,1.45
3.5,1.52
5,1.55
3,1.6
4,1.6
3,1.65
4,1.75
5,1.8
6,1.85
4,1.9
4,1.95
5,1.95
5,1.95
4,2
5,2
5,2.05
4,2.1
2,2.15
5,2.15
5,2.15
6,2.15
3,2.2
5,2.2
6,2.2
5,2.25
10,2.25
4,2.3
4,2.3
5,2.3
5,2.3
6,2.3
4,2.35
4,2.35
4,2.35
5,2.35
5,2.35
5.1,2.4
6,2.4
6,2.4
7,2.4
6,2.45
7,2.45
7,2.45
9,2.45
4,2.5
5,2.5
5,2.5
6,2.5
6,2.5
6,2.5
6.5,2.5
7,2.5
7,2.5
7,2.5
11,2.5
5,2.55
9,2.55
4,2.57
6,2.6
6,2.6
8,2.6
7,2.65
4,2.7
7,2.7
9,2.7
9,2.7
3,2.75
9,2.75
4,2.8
7,2.8
9,2.8
10,2.8
9,2.85
10,2.85
11,2.85
4,2.9
6,2.9
7,2.9
7,2.9
7,2.9
7,2.9
8,2.9
8,2.9
6,2.93
3,2.94
8,2.94
5.2,2.95
7,2.95
7,2.95
8,2.95
8,2.95
9,2.95
10,2.95
5.5,3
7,3
5,3.03
8,3.03
5.1,3.05
9,3.05
10,3.05
5,3.1
7,3.1
7,3.1
9,3.1
9,3.1
16,3.1
7,3.15
9,3.15
9,3.15
10,3.15
6,3.19
9,3.2
9,3.2
10,3.2
8,3.22
3,3.25
9,3.25
5,3.3
5,3.3
5.5,3.3
6,3.3
9,3.3
9,3.3
9,3.3
10,3.3
10,3.3
5,3.33
5,3.35
8,3.35
8,3.35
8,3.35
8.5,3.35
9,3.35
10,3.35
5,3.4
8,3.4
9,3.4
10,3.4
10,3.4
10,3.4
10,3.4
12,3.4
12,3.4
16,3.4
7,3.44
4,3.45
9,3.45
7.3,3.5
8,3.5
9,3.5
9,3.5
9,3.5
10,3.5
10,3.5
12,3.5
13,3.5
14,3.5
17,3.5
5,3.55
7,3.55
7.5,3.55
11,3.55
7.5,3.6
11,3.6
12,3.6
16,3.6
7,3.65
11,3.65
16,3.65
8,3.67
10,3.68
7,3.7
8.5,3.7
9,3.7
10,3.7
13,3.7
15,3.7
9,3.75
10,3.75
10,3.75
11,3.75
12,3.75
14,3.75
6,3.8
9,3.8
10,3.85
11,3.85
11,3.85
12,3.85
9,3.88
7.5,3.9
10,3.9
11,3.9
11,3.9
12,3.9
5,3.95
8,3.95
9,3.95
11,3.95
11,3.95
6.5,4
9,4
9,4
9.1,4
10,4
11,4
12,4
12,4
13,4
13,4
15,4
5.1,4.05
8,4.05
9,4.05
10,4.08
5,4.1
7.5,4.1
8,4.1
8,4.1
8.5,4.1
9.5,4.1
10,4.1
11.5,4.1
12,4.1
14,4.1
14,4.1
14,4.1
18,4.1
5.1,4.15
10.5,4.15
7,4.2
7.5,4.2
8,4.2
10,4.2
12,4.2
11,4.21
9,4.25
10,4.25
13,4.25
17,4.26
10.5,4.28
12,4.3
12,4.3
12,4.3
14,4.3
18,4.3
8.5,4.35
19,4.35
9.1,4.4
9.1,4.4
10,4.4
10,4.4
12,4.4
13,4.4
13,4.4
15,4.4
11.5,4.45
12,4.45
13,4.45
14,4.45
14,4.45
13.5,4.49
9,4.5
9,4.5
9,4.5
10,4.5
11,4.5
12,4.5
12,4.5
14,4.5
15,4.5
15,4.5
18,4.5
19,4.5
11.5,4.52
8,4.55
10,4.55
12,4.55
15,4.55
8,4.6
9,4.6
11.5,4.6
13,4.6
14,4.6
15,4.6
19,4.6
7.5,4.7
9,4.7
9.1,4.7
10,4.7
11,4.7
11,4.7
11,4.7
11,4.7
12,4.7
12,4.7
15,4.7
16,4.7
17,4.7
11.5,4.75
12.1,4.75
10,4.8
11,4.8
12,4.8
12,4.8
13,4.8
14,4.8
17,4.8
18,4.8
22,4.8
9,4.85
10,4.85
14,4.85
16,4.85
12,4.87
7.1,4.9
10,4.9
10.1,4.9
10.5,4.9
13,4.9
13,4.9
13,4.9
14,4.9
14,4.9
15,4.9
18,4.9
20,4.9
21,4.9
10,4.95
10.5,4.95
12.5,4.95
18,4.95
9.5,5
11,5
11,5
12,5
12.1,5
13,5
13,5
17,5
20,5
14,5.05
16,5.08
11,5.1
11.1,5.1
12,5.1
14,5.1
14,5.1
14,5.1
14,5.1
16,5.1
16,5.1
20,5.1
21,5.1
22,5.1
15.5,5.11
12,5.15
13,5.15
15,5.15
7.1,5.2
10,5.2
12,5.2
12.8,5.2
13,5.2
13,5.2
14,5.2
15,5.2
15,5.2
15,5.2
15.5,5.2
16,5.2
16.5,5.2
15.2,5.22
15.5,5.23
14,5.25
15,5.25
20,5.25
8,5.3
9.5,5.3
11,5.3
