Date,Hours,Minutes,MagnitudeReportedByIMD,UCGSmb,NGRIMs,CODA1mm,CODA2mm,CODA6mm,CODA10mm
26.01.01,14,55,4,,4,670,631,284,245
26.01.01,15,11,4.6,4.8,4.6,806,746,405,338
26.01.01,18,20,4.5,4.7,4.3,913,775,371,335
26.01.01,19,10,4,4.2,3.9,645,528,318,288
26.01.01,23,14,4,,3.7,614,539,396,237
27.01.01,3,34,4,4.1,4.1,654,535,279,231
27.01.01,3,50,4.7,4.7,4.5,978,764,452,357
27.01.01,4,36,5.2,4.8,4.4,1079,849,654,527
27.01.01,9,10,4.1,,3.9,576,495,270,196
27.01.01,10,18,4.1,,3.9,683,613,296,258
27.01.01,11,24,4.5,4.6,4.5,947,779,420,365
27.01.01,17,1,4.4,,4.7,762,688,375,322
28.01.01,1,2,5.7,5.9,6,1958,1805,1387,855
28.01.01,3,18,3.8,4.2,3.9,469,454,219,211
28.01.01,3,26,4.6,4.3,4.4,737,677,466,304
28.01.01,11,11,4.7,4.9,4.6,917,747,560,445
28.01.01,17,15,4.4,4.7,4.5,643,633,404,322
28.01.01,18,3,3.9,4,3.8,538,465,216,209
28.01.01,19,31,4.4,4,4.2,623,582,336,289
28.01.01,19,42,4.6,4.3,4.4,785,717,393,308
29.01.01,1,39,4.6,4.8,4.6,803,718,392,325
29.01.01,9,39,4.5,4.8,4.6,728,678,425,387
29.01.01,19,14,4.1,4,4,801,727,479,438
29.01.01,23,55,4.5,4.8,4.3,630,560,366,293
30.01.01,3,17,4.4,4.1,4.3,678,573,345,295
30.01.01,18,20,4.7,4.7,4.7,852,750,487,382
31.01.01,1,56,4.3,4.4,4.4,622,609,302,256
31.01.01,3,34,4.5,4.4,4.4,628,548,359,291
31.01.01,4,41,4,4,4,638,580,246,214
31.01.01,7,32,4.2,4.4,4.1,700,601,298,280
31.01.01,9,42,4.7,4.9,4.5,905,885,499,428
31.01.01,23,36,4.8,4.4,4.5,717,683,350,315
01.02.0 I,21,7,,4.1,3.9,508,382,233,188
01.02.01,22,21,4,4.2,3.9,478,412,270,227
01.02.01,22,30,4.3,4.6,4.2,686,630,332,293
03.02.01,3,5,5.1,5.3,5,1054,879,619,538
03.02.01,7,1,4.3,,4.3,766,655,557,520
03.02.01,9,19,4,3.9,4,474,389,271,210
03.02.01,10,6,4.7,4.5,4.9,802,792,500,407
04.02.01,4,47,4.5,4.5,4.8,800,707,505,468
04.02.01,15,34,4.7,4.4,4.4,869,761,401,361
04.02.01,17,23,4.4,4.4,4.5,612,517,328,295
05.02.01,3,0,4.4,4.7,4.4,711,587,392,337
05.02.01,11,51,4,,3.7,428,358,255,211
07.02.01,10,31,4.3,,3.9,568,552,314,264
08.02.01,3,26,4.4,4.4,4.4,798,663,377,305
08.02.01,9,33,4.2,4.3,4.2,618,569,321,299
08.02.01,14,12,4,,3.6,672,615,243,219
08.02.01,16,55,5.2,5.1,4.9,1243,1105,901,845
09.02.01,10,8,4.5,4.7,,738,609,386,301
09.02.01,12,37,4.4,4.8,4.3,675,577,353,290
10.02.01,5,37,4.1,3.8,4,578,500,306,268
10.02.01,19,31,4.7,,4,448,364,244,208
11.02.01,2,34,4.4,4.6,4.4,661,563,369,307
11.02.01,15,30,4,4.5,3.8,520,372,242,194
11.02.01,20,12,,,4.1,623,457,286,250
11.02.01,23,40,4,3.8,3.9,458,391,266,222
15.02.01,5,39,4,4.8,4,623,530,263,247
15.02.01,7,23,3.9,4,3.9,592,525,307,262
15.02.01,10,5,4.8,4.7,4.5,798,721,425,319
17.02.01,8,27,4.4,4.8,4.4,738,598,358,316
18.02.01,16,46,4.2,4.5,3.8,555,446,252,210
19.02.01,2,11,5.1,4.6,4.8,904,842,545,414
19.02.01,8,24,5.2,5.2,5.3,1325,1124,737,661
19.02.01,9,22,4.1,4.2,4,639,490,291,254
19.02.01,15,6,4.1,4.1,3.9,578,435,286,222
20.02.01,16,31,4.2,,3.8,416,321,227,193
22.02.01,2,13,4.6,4.7,4.4,796,734,483,310
24.02.01,22,3,4.1,,,458,409,330,255
28.02.01,14,33,4.2,4.3,3.9,536,449,268,219
01.03.01,0,53,4.5,4.5,4.2,486,627,332,270
01.03.01,15,51,4.2,4.3,3.9,618,478,317,251
02.03.01,8,51,4.2,,3.6,353,216,105,91
02.03.01,21,57,4.3,4.4,4.1,580,495,305,245
04.03.01,7,54,5,4.8,4.7,1206,1094,766,596
04.03.01,14,9,4,,3.7,496,390,212,186
08.03.01,2,56,4.2,4.4,4.1,565,542,298,251
09.03.01,12,41,4.2,4.2,4,605,496,299,243
09.03.01,17,29,4,,3.9,560,402,261,218
11.03.01,12,38,4.1,4,3.9,564,369,250,209
13.03.01,12,6,4,3.7,3.9,574,369,253,221
13.03.01,13,48,4.2,,4.1,544,528,294,238
14.03.01,10,42,4.6,4.5,4.2,802,744,409,345
14.03.01,23,49,3.8,4,3.7,525,369,207,183
19.03.01,20,7,4.6,4.9,4.7,892,755,482,391
24.03.01,1,16,3.9,,4.1,630,427,275,246
01.04.01,8,57,4.4,4.6,,711,573,300,246
16.04.01,14,26,4.5,4.1,4.3,709,644,332,306
17.04.01,11,30,3.5,4.2,3.7,456,311,163,89
21.04.01,1,22,4.1,,4,515,386,268,220
24.04.01,6,6,4.2,4.1,4,608,390,235,175
26.04.01,9,0,4.1,4.2,4.1,659,542,279,229
06.05.01,7,43,4.3,4.7,4.2,720,588,308,285
06.05.01,22,56,4.7,,4.7,1300,1118,745,647
13.05.01,4,6,4.3,4.4,3.9,696,528,263,207
17.05.01,12,26,3.8,,3.9,520,490,240,192
17.05.01,13,15,3.8,,3.9,708,583,246,208
06.06.01,6,19,3.3,,4,698,442,282,210
10.06.01,12,10,4,,4,554,390,235,189
17.06.01,16,2,4.4,,4.7,617,555,345,309
19.06.01,19,14,4,,3.9,448,343,208,173
21.06.01,14,19,4.8,4.5,4.4,581,494,272,241
30.06.01,20,20,4.5,4.6,4.3,707,581,373,269
15.07.01,0,4,4.2,4.2,,498,429,228,192
01.08.01,6,20,4.2,,4,564,441,246,208
03.08.01,4,24,4.4,,4.3,564,511,260,218
08.08.01,23,47,4.1,,4.2,573,375,226,182
24.08.01,12,33,4,4.4,,491,317,206,178
20.09.01,13,35,4.5,,4.2,618,488,291,245
21.09.01,2,41,4,,4,471,410,231,184
03.10.01,0,48,4.1,,4.1,487,234,210,189
03.10.01,9,1,4.1,,4.5,579,462,305,260
16.10.01,19,58,4,,,572,433,229,170
21.10.01,8,32,4.2,,4,553,347,211,190
29.10.01,18,11,4.6,,4.4,719,535,318,271
31.10.01,9,18,4.7,,4.8,816,613,391,292
17.11.01,20,31,4,,,518,445,262,211
24.11.01,2,43,4.2,,4.4,581,447,258,212
01.12.01,22,3,4.3,,4,611,539,318,266
12.12.01,15,0,4.1,,3.9,626,474,276,206
21.12.01,17,33,4.7,,4.4,994,777,536,403
