Month,Density ,Biomass
May-98,6,2
May-98,11,4.5
Jun-98,15,6.5
Jun-98,13.5,9
Jul-98,11,8
Jul-98,14.5,11
Aug-98,17.5,17
Aug-98,13.5,14
Sep-98,14,12.5
Oct-98,12,11
Oct-98,6.5,10.5
Nov-98,5.5,9
Nov-98,3,3
Dec-98,2.5,2.5
Dec-98,2,0.2
Jan-99,2,0.5
Feb-99,0,0.2
Feb-99,2,0.1
Mar-99,3,3
Mar-99,4,3.5
Apr-99,6,2.2
Apr-99,10,2
May-99,7.5,1.8
May-99,10,3
Jun-99,14,11.5
Jul-99,14,7.5
Jul-99,5.5,3.5
Aug-99,11,7.5
Aug-99,19,15.5
Sep-99,16.5,9
Sep-99,12,10.5
Oct-99,12,9
Oct-99,10.5,9
Nov-99,5,6.5
Nov-99,6,11
Nov-99,2,3
Dec-99,1.7,1.5
Dec-99,1.5,1.4
Jan-00,4,1.5
Jan-00,1,1.4
Feb-00,2,1
Mar-00,3.7,4
Mar-00,3.6,1
Mar-00,3,1.5
Apr-00,3,0.5
Apr-00,3.5,1
