Family,Species Name,GBH (cm),Height(m)
EUPHORBIACEAE,Aporusa lindleyana,29,10
EUPHORBIACEAE,Aporusa lindleyana,42,20
EUPHORBIACEAE,Aporusa lindleyana,49,20
EUPHORBIACEAE,Aporusa lindleyana,34,15
EUPHORBIACEAE,Aporusa lindleyana,31,10
EUPHORBIACEAE,Aporusa lindleyana,28,10
EUPHORBIACEAE,Aporusa lindleyana,26,15
EUPHORBIACEAE,Aporusa lindleyana,41,10
EUPHORBIACEAE,Aporusa lindleyana,30,15
EUPHORBIACEAE,Aporusa lindleyana,68,30
EUPHORBIACEAE,Aporusa lindleyana,40,20
EUPHORBIACEAE,Aporusa lindleyana,45,20
EUPHORBIACEAE,Aporusa lindleyana,45,20
EUPHORBIACEAE,Aporusa lindleyana,51,20
EUPHORBIACEAE,Aporusa lindleyana,31,10
EUPHORBIACEAE,Aporusa lindleyana,33,15
EUPHORBIACEAE,Aporusa lindleyana,37,20
EUPHORBIACEAE,Aporusa lindleyana,45,22
EUPHORBIACEAE,Aporusa lindleyana,34,15
EUPHORBIACEAE,Aporusa lindleyana,90,50
EUPHORBIACEAE,Aporusa lindleyana,56,25
EUPHORBIACEAE,Aporusa lindleyana,30,10
EUPHORBIACEAE,Aporusa lindleyana,54,20
EUPHORBIACEAE,Aporusa lindleyana,72,25
EUPHORBIACEAE,Aporusa lindleyana,54,15
EUPHORBIACEAE,Aporusa lindleyana,27,15
EUPHORBIACEAE,Aporusa lindleyana,37,15
EUPHORBIACEAE,Aporusa lindleyana,46,15
EUPHORBIACEAE,Aporusa lindleyana,60,18
EUPHORBIACEAE,Aporusa lindleyana,21,15
EUPHORBIACEAE,Aporusa lindleyana,44,20
EUPHORBIACEAE,Aporusa lindleyana,45,10
EUPHORBIACEAE,Aporusa lindleyana,68,20
EUPHORBIACEAE,Aporusa lindleyana,45,20
EUPHORBIACEAE,Aporusa lindleyana,45,20
EUPHORBIACEAE,Aporusa lindleyana,55,20
EUPHORBIACEAE,Aporusa lindleyana,70,25
EUPHORBIACEAE,Aporusa lindleyana,68,0
EUPHORBIACEAE,Aporusa lindleyana,42,10
EUPHORBIACEAE,Aporusa lindleyana,65,20
EUPHORBIACEAE,Aporusa lindleyana,77,20
EUPHORBIACEAE,Aporusa lindleyana,63,20
EUPHORBIACEAE,Aporusa lindleyana,38,15
EUPHORBIACEAE,Aporusa lindleyana,1,0
EUPHORBIACEAE,Aporusa lindleyana,65,25
EUPHORBIACEAE,Aporusa lindleyana,52,25
EUPHORBIACEAE,Aporusa lindleyana,63,25
EUPHORBIACEAE,Aporusa lindleyana,41,10
EUPHORBIACEAE,Aporusa lindleyana,33,12
EUPHORBIACEAE,Haevea brazeliensis,60,40
EUPHORBIACEAE,Haevea brazeliensis,55,40
EUPHORBIACEAE,Haevea brazeliensis,57,40
EUPHORBIACEAE,Haevea brazeliensis,47,35
EUPHORBIACEAE,Haevea brazeliensis,37,30
EUPHORBIACEAE,Haevea brazeliensis,30,25
EUPHORBIACEAE,Haevea brazeliensis,45,30
EUPHORBIACEAE,Haevea brazeliensis,57,30
EUPHORBIACEAE,Haevea brazeliensis,52,30
EUPHORBIACEAE,Haevea brazeliensis,70,35
EUPHORBIACEAE,Haevea brazeliensis,45,30
EUPHORBIACEAE,Haevea brazeliensis,72,30
EUPHORBIACEAE,Haevea brazeliensis,37,25
EUPHORBIACEAE,Haevea brazeliensis,60,35
EUPHORBIACEAE,Haevea brazeliensis,57,35
EUPHORBIACEAE,Haevea brazeliensis,55,35
EUPHORBIACEAE,Haevea brazeliensis,57,35
EUPHORBIACEAE,Haevea brazeliensis,52,35
EUPHORBIACEAE,Haevea brazeliensis,52,35
EUPHORBIACEAE,Haevea brazeliensis,55,35
EUPHORBIACEAE,Haevea brazeliensis,42,25
EUPHORBIACEAE,Haevea brazeliensis,41,22
EUPHORBIACEAE,Haevea brazeliensis,40,30
EUPHORBIACEAE,Haevea brazeliensis,40,25
EUPHORBIACEAE,Haevea brazeliensis,57,28
EUPHORBIACEAE,Haevea brazeliensis,46,28
EUPHORBIACEAE,Haevea brazeliensis,44,30
EUPHORBIACEAE,Haevea brazeliensis,46,28
EUPHORBIACEAE,Haevea brazeliensis,68,53
EUPHORBIACEAE,Haevea brazeliensis,77,48
EUPHORBIACEAE,Haevea brazeliensis,83,62
EUPHORBIACEAE,Haevea brazeliensis,69,47
EUPHORBIACEAE,Haevea brazeliensis,71,51
EUPHORBIACEAE,Haevea brazeliensis,86,55
EUPHORBIACEAE,Macaraga peltata,120,40
EUPHORBIACEAE,Macaraga peltata,130,40
EUPHORBIACEAE,Macaraga peltata,69,15
EUPHORBIACEAE,Macaraga peltata,82,35
EUPHORBIACEAE,Macaraga peltata,70,30
EUPHORBIACEAE,Macaraga peltata,185,45
EUPHORBIACEAE,Mallotus philipinensis,47,25
EUPHORBIACEAE,Mallotus philipinensis,28,20
EUPHORBIACEAE,Mallotus philipinensis,60,20
EUPHORBIACEAE,Mallotus philipinensis,46,30
EUPHORBIACEAE,Mallotus philipinensis,30,20
EUPHORBIACEAE,Mallotus philipinensis,50,20
EUPHORBIACEAE,Mallotus philipinensis,40,5
EUPHORBIACEAE,Mallotus philipinensis,29,10
EUPHORBIACEAE,Mallotus philipinensis,50,25
EUPHORBIACEAE,Mallotus philipinensis,26,15
EUPHORBIACEAE,Mallotus philipinensis,20,12
EUPHORBIACEAE,Mallotus philipinensis,64,30
EUPHORBIACEAE,Mallotus philipinensis,124,30
EUPHORBIACEAE,Mallotus philipinensis,112,40
EUPHORBIACEAE,Mallotus philipinensis,36,15
EUPHORBIACEAE,Phyllanthus emblica,63,38
EUPHORBIACEAE,Trewia polycarpa,117,50
