WEIGHT,EXTRUDER RPM,CURRENT,ConveyerSpeed
4.46,60,69,70
4.46,59,70,69
4.45,60,70,69
4.43,60,72,70
4.41,60,68,70
4.43,60,69,69
4.45,59,70,69
4.51,59,71,69
4.40,59,67,69
4.38,59,70,69
4.42,59,71,69
4.41,59,68,69
4.42,59,72,69
4.40,59,73,69
4.42,59,74,69
4.43,59,71,70
4.42,59,71,69
4.45,59,73,69
4.47,59,74,69
4.48,59,71,69
4.46,59,72,69
4.45,59,74,69
4.43,59,73,69
4.39,59,72,69
4.39,59,73,69
4.42,59,72,69
4.44,59,71,69
4.41,59,71,69
4.36,59,72,70
4.39,59,71,70
4.37,60,70,70
4.37,60,72,70
4.39,59,72,69
4.42,59,72,69
4.45,60,71,69
4.38,60,71,70
4.43,60,71,70
4.43,60,71,69
4.45,60,72,69
4.42,59,72,69
4.41,59,72,69
4.42,60,72,69
4.43,59,71,69
4.40,59,71,69
4.38,59,71,69
4.45,59,71,69
4.39,59,72,69
4.42,60,71,69
4.44,59,71,70
