Year,Household sector(Crs),Private Corporate Sector(Crs),Public Sector (Crs),Total(Crs)
1950,612,93,182,887
1951,583,136,266,985
1952,637,64,160,861
1953,665,90,143,898
1954,719,118,169,1006
1955,1046,134,190,1370
1956,1178,155,251,1584
1957,997,121,266,1384
1958,1016,140,251,1407
1959,1301,185,262,1748
1960,1254,281,454,1989
1961,1281,320,526,2127
1962,1533,344,602,2479
1963,1618,394,751,2763
1964,1875,389,865,3129
1965,2602,405,863,3870
1966,3223,424,728,4375
1967,3210,410,735,4355
1968,3349,439,933,4721
1969,4440,549,1115,6104
1970,4634,672,1343,6649
1971,5219,769,1379,7367
1972,5624,806,1442,7872
1973,7985,1083,1931,10999
1974,8080,1465,2835,12380
1975,9743,1083,3520,14346
1976,11849,1181,4378,17408
1977,14354,1419,4375,20148
1978,17015,1652,5009,23676
1979,16690,2398,5226,24314
1980,19868,2339,4929,27136
1981,21225,2560,7570,31355
1982,23216,2980,8172,34368
1983,28165,3254,7168,38587
1984,35067,4040,6956,46063
1985,39795,5426,8946,54167
1986,45072,5306,8543,58921
1987,59157,5932,7819,72908
1988,70657,8486,8770,87913
1989,86955,11845,8179,106979
1990,109697,15164,6279,131140
1991,110736,20004,12868,143608
1992,131073,19968,11865,162906
1993,158310,29866,5445,193621
1994,199358,35260,15845,250463
1995,216410,58542,24065,299017
1996,233252,61092,22917,317261
1997,268437,63486,20255,352178
1998,326802,65026,-17169,374659
1999,404401,84329,-20049,468681
2000,458215,86142,-48371,495986
2001,519040,78649,-62704,534985
2002,559258,84169,-45730,597697
