SpeciesRank,Abundance,Site name
1,360,Sringeri
2,205,Sringeri
3,185,Sringeri
4,176,Sringeri
5,173,Sringeri
6,145,Sringeri
7,142,Sringeri
8,136,Sringeri
9,127,Sringeri
10,113,Sringeri
11,89,Sringeri
12,87,Sringeri
13,63,Sringeri
14,59,Sringeri
15,42,Sringeri
16,38,Sringeri
17,31,Sringeri
18,26,Sringeri
19,25,Sringeri
20,20,Sringeri
21,19,Sringeri
22,18,Sringeri
23,18,Sringeri
24,13,Sringeri
25,10,Sringeri
26,10,Sringeri
27,9,Sringeri
28,8,Sringeri
29,8,Sringeri
30,8,Sringeri
31,8,Sringeri
32,7,Sringeri
33,7,Sringeri
34,6,Sringeri
35,5,Sringeri
36,5,Sringeri
37,4,Sringeri
38,4,Sringeri
39,4,Sringeri
40,3,Sringeri
41,2,Sringeri
42,2,Sringeri
43,1,Sringeri
44,1,Sringeri
45,1,Sringeri
46,1,Sringeri
47,1,Sringeri
1,74,Sullia
2,54,Sullia
3,53,Sullia
4,38,Sullia
5,30,Sullia
6,15,Sullia
7,14,Sullia
8,13,Sullia
9,11,Sullia
10,11,Sullia
11,11,Sullia
12,10,Sullia
13,10,Sullia
14,8,Sullia
15,8,Sullia
16,8,Sullia
17,7,Sullia
18,5,Sullia
19,4,Sullia
20,3,Sullia
21,2,Sullia
22,2,Sullia
23,2,Sullia
24,2,Sullia
25,2,Sullia
26,2,Sullia
27,2,Sullia
28,2,Sullia
29,1,Sullia
30,1,Sullia
31,1,Sullia
32,1,Sullia
33,1,Sullia
