Group,Team,Opponent team,Team goals scored,opponent team goals scored,First goal scored by
A,Germany,Holand,1,0,Germany
A,Germany,Argentina,5,2,Argentina
A,Germany,Pakistan,3,2,Germany
A,Germany,Spain,2,3,Spain
A,Germany,New-Zealand,2,1,Germany
A,Germany,South Africa,3,0,Germany
A,Germany,Belgium,3,0,Germany
A,Holand,Argentina,2,1,Argentina
A,Holand,Pakistan,2,1,Holand
A,Holand,Spain,1,1,Holand
A,Holand,New-Zealand,4,0,Holand
A,Holand,South Africa,3,0,Holand
A,Holand,Belgium,5,1,Holand
A,Argentina,Pakistan,2,1,Pakistan
A,Argentina,Spain,3,1,Argentina
A,Argentina,New-Zealand,3,1,Argentina
A,Argentina,South Africa,4,1,Argentina
A,Argentina,Belgium,3,1,Argentina
A,Pakistan,Spain,2,0,Pakistan
A,Pakistan,New-Zealand,2,0,Pakistan
A,Pakistan,South Africa,5,0,Pakistan
A,Pakistan,Belgium,3,2,Belgium
A,Spain,New-Zealand,3,1,New-Zealand
A,Spain,South Africa,2,2,Spain
A,Spain,Belgium,2,0,Spain
A,New-Zealand,South Africa,2,1,New-Zealand
A,New-Zealand,Belgium,4,3,New-Zealand
A,South Africa,Belgium,3,0,South Africa
B,Australia,Koria,4,2,Australia
B,Australia,Malesia,3,0,Australia
B,Australia,England,1,0,Australia
B,Australia,Japan,5,0,Australia
B,Australia,India,4,3,India
B,Australia,Poland,5,1,Australia
B,Australia,Quba,6,0,Australia
B,Koria,Malesia,3,2,Koria
B,Koria,England,0,2,England
B,Koria,Japan,3,0,Koria
B,Koria,India,2,1,Koria
B,Koria,Poland,4,0,Koria
B,Koria,Quba,6,2,Koria
B,Malesia,England,2,1,Malesia
B,Malesia,Japan,1,0,Malesia
B,Malesia,India,3,2,Malesia
B,Malesia,Poland,2,2,Malesia
B,Malesia,Quba,4,2,Quba
B,England,Japan,1,2,Japan
B,England,India,3,2,England
B,England,Poland,1,0,England
B,England,Quba,7,0,England
B,Japan,India,2,2,Japan
B,Japan,Poland,2,1,Poland
B,Japan,Quba,4,2,Quba
B,India,Poland,4,1,India
B,India,Quba,4,0,India
B,Poland,Quba,4,1,Quba
