Date,Opening price(Rs.)
20-Jun-02,201.1
21-Jun-02,201.8
24-Jun-02,201.3
25-Jun-02,200.9
26-Jun-02,200.5
27-Jun-02,198.1
28-Jun-02,199.1
01-Jul-02,199
02-Jul-02,200
03-Jul-02,199.6
04-Jul-02,200.7
05-Jul-02,199.5
08-Jul-02,201
09-Jul-02,202.5
10-Jul-02,202
11-Jul-02,202
12-Jul-02,201
15-Jul-02,203
16-Jul-02,204.6
17-Jul-02,200.8
18-Jul-02,202.8
19-Jul-02,201.9
22-Jul-02,198
23-Jul-02,197.6
24-Jul-02,198.5
25-Jul-02,200
26-Jul-02,199
29-Jul-02,205
30-Jul-02,200
31-Jul-02,196.1
01-Aug-02,206
02-Aug-02,204
05-Aug-02,202
06-Aug-02,202
07-Aug-02,203.3
08-Aug-02,202.6
09-Aug-02,199.1
12-Aug-02,200.4
13-Aug-02,200.1
14-Aug-02,210
16-Aug-02,220
19-Aug-02,225.2
20-Aug-02,244.5
21-Aug-02,246
22-Aug-02,247
23-Aug-02,236.5
26-Aug-02,236
27-Aug-02,250
28-Aug-02,248
29-Aug-02,250
30-Aug-02,236
02-Sep-02,252
03-Sep-02,239.5
04-Sep-02,233.5
05-Sep-02,240
06-Sep-02,236
09-Sep-02,230
11-Sep-02,227.8
12-Sep-02,218.9
13-Sep-02,216
16-Sep-02,227
17-Sep-02,217
18-Sep-02,209
19-Sep-02,200
20-Sep-02,203.4
23-Sep-02,213.1
24-Sep-02,207.9
25-Sep-02,208
26-Sep-02,225
27-Sep-02,210
30-Sep-02,208
01-Oct-02,205.3
03-Oct-02,210
04-Oct-02,208.9
07-Oct-02,209
08-Oct-02,212
09-Oct-02,216
10-Oct-02,214.9
11-Oct-02,215
14-Oct-02,223
16-Oct-02,208
17-Oct-02,204
18-Oct-02,206.8
21-Oct-02,211
22-Oct-02,208.5
23-Oct-02,208
24-Oct-02,208
25-Oct-02,208
28-Oct-02,205.2
29-Oct-02,207.5
30-Oct-02,212
31-Oct-02,229.5
01-Nov-02,218.3
04-Nov-02,224
05-Nov-02,220.3
07-Nov-02,221.2
08-Nov-02,219
11-Nov-02,218.5
12-Nov-02,222
13-Nov-02,222.1
14-Nov-02,224.8
15-Nov-02,222.2
18-Nov-02,218
20-Nov-02,219.6
21-Nov-02,230
22-Nov-02,218.5
25-Nov-02,218
26-Nov-02,220
27-Nov-02,218
28-Nov-02,223
29-Nov-02,218.5
02-Dec-02,221.4
03-Dec-02,232
04-Dec-02,226
05-Dec-02,226
06-Dec-02,229
09-Dec-02,235.3
10-Dec-02,227
11-Dec-02,231
12-Dec-02,227.9
13-Dec-02,227
16-Dec-02,230
17-Dec-02,237
18-Dec-02,234
19-Dec-02,230
20-Dec-02,230.6
23-Dec-02,233.5
24-Dec-02,234
26-Dec-02,233.5
27-Dec-02,237.4
30-Dec-02,232
31-Dec-02,229
01-Jan-03,238
02-Jan-03,238.1
03-Jan-03,250
06-Jan-03,245
07-Jan-03,245.8
08-Jan-03,250
09-Jan-03,248.3
10-Jan-03,248
13-Jan-03,243.5
14-Jan-03,246.2
15-Jan-03,245.2
16-Jan-03,250
17-Jan-03,250
20-Jan-03,250.8
21-Jan-03,245
22-Jan-03,249
23-Jan-03,245
24-Jan-03,245.3
27-Jan-03,248
28-Jan-03,246.1
29-Jan-03,243
30-Jan-03,242
31-Jan-03,237.3
03-Feb-03,237
04-Feb-03,240.1
05-Feb-03,242
06-Feb-03,246
07-Feb-03,245
10-Feb-03,245
11-Feb-03,244.9
12-Feb-03,245
14-Feb-03,245
17-Feb-03,243.8
18-Feb-03,245.3
19-Feb-03,243.7
20-Feb-03,241
21-Feb-03,242
24-Feb-03,241.2
25-Feb-03,240.8
26-Feb-03,240.4
27-Feb-03,239.1
28-Feb-03,242
03-Mar-03,238.3
04-Mar-03,242.5
05-Mar-03,240
06-Mar-03,237
07-Mar-03,235
10-Mar-03,230
11-Mar-03,230
12-Mar-03,229.3
13-Mar-03,230
17-Mar-03,229.5
19-Mar-03,233.9
20-Mar-03,229
21-Mar-03,228.5
22-Mar-03,232
24-Mar-03,229
25-Mar-03,231
26-Mar-03,236
27-Mar-03,232.2
28-Mar-03,233.3
31-Mar-03,233
01-Apr-03,232.5
02-Apr-03,236.7
03-Apr-03,235.9
04-Apr-03,240.5
07-Apr-03,241
08-Apr-03,240
09-Apr-03,240
10-Apr-03,245
11-Apr-03,240
15-Apr-03,236.1
16-Apr-03,236.2
17-Apr-03,239.8
21-Apr-03,240
22-Apr-03,238.1
23-Apr-03,240
24-Apr-03,239.2
25-Apr-03,239
28-Apr-03,238
29-Apr-03,238.2
30-Apr-03,238
02-May-03,239.9
05-May-03,240.4
06-May-03,248
07-May-03,245.8
08-May-03,250.8
09-May-03,249
12-May-03,250
13-May-03,265
14-May-03,268.3
15-May-03,268
16-May-03,269.9
19-May-03,285
20-May-03,276
21-May-03,287
22-May-03,297.4
23-May-03,305
26-May-03,314.4
27-May-03,336
28-May-03,332.5
29-May-03,330.7
30-May-03,334.9
02-Jun-03,364.9
03-Jun-03,375
04-Jun-03,372
05-Jun-03,391.9
06-Jun-03,380
09-Jun-03,388.5
10-Jun-03,385
11-Jun-03,373
12-Jun-03,369
13-Jun-03,369
16-Jun-03,392
17-Jun-03,404.9
18-Jun-03,406
19-Jun-03,420.3
20-Jun-03,417.9
