Region/country/territory,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Total,Continent
Botswana,1,-,-,-,-,-,3,1,-,1,4,5,9,3,11,,38,Africa
Cameroon,-,-,3,-,3,2,-,-,-,-,-,9,1,-,-,-,18,Africa
Chad,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,Africa
Cote d'Ivoire,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,6,Africa
Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3,Africa
Djibouti,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,2,Africa
Egypt,-,-,-,-,-,-,-,-,-,-,3,11,6,15,-,1,36,Africa
Ethiopia,-,1,1,3,5,12,2,4,3,3,3,2,-,1,4,5,49,Africa
Gabon,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,2,Africa
Kenya,-,1,1,17,20,7,24,8,6,2,10,32,31,27,36,,222,Africa
Malawi,22,12,27,26,25,4,9,2,1,1,3,-,-,-,1,-,133,Africa
Morocco,-,-,-,-,-,1,3,1,-,-,-,-,1,-,-,-,6,Africa
Mozambique,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,,4,Africa
Namibia,24,31,44,40,69,69,71,50,58,22,24,20,18,14,12,4,570,Africa
Nigeria,8,2,2,-,-,-,-,-,-,-,-,-,-,0,0,,12,Africa
South Africa,3,7,47,40,47,22,16,26,49,62,62,12,8,24,4,,429,Africa
United Republic of Tanzania,34,19,41,25,29,21,11,19,17,10,4,3,1,26,8,1,269,Africa
Uganda,-,3,-,1,-,1,1,-,1,-,-,-,1,-,-,-,8,Africa
Zambia,17,16,21,17,9,10,6,3,4,1,-,1,-,1,4,-,110,Africa
Zimbabwe,3,11,11,4,10,1,13,1,26,34,35,12,7,-,5,-,173,Africa
Subtotal,112,103,198,175,217,151,160,116,166,141,149,112,84,118,88,12,"2,102",Africa
China,-,-,-,-,2,3,1,3,-,3,11,26,54,58,39,-,200,Asia
Hong Kong SAR,-,19,14,18,11,8,11,14,8,5,4,9,4,4,1,2,132,Asia
India,-,-,8,4,0,1,2,11,11,11,10,27,25,6,2,-,118,Asia
Israel,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,Asia
Japan,3,7,2,1,1,6,46,39,23,18,18,8,14,8,8,,202,Asia
Macau SAR,2,1,0,7,3,3,3,2,-,-,-,-,1,2,1,-,25,Asia
Malaysia,0,0,0,11,2,0,0,-,-,1,-,-,2,-,1,1,18,Asia
Philippines,-,-,-,-,-,-,-,1,3,1,-,0,0,-,-,-,5,Asia
Republic of Korea,0,0,0,0,2,0,1,-,1,-,-,-,-,-,-,-,4,Asia
Singapore,0,1,1,1,3,2,1,-,-,-,-,-,-,1,-,-,10,Asia
"Taiwan, province of China",-,-,1,1,6,13,10,10,11,15,13,7,-,-,-,-,87,Asia
Thailand,-,-,-,2,3,8,4,3,-,1,-,1,2,6,1,4,35,Asia
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,,2,Asia
Viet Nam,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,-,4,Asia
Subtotal,6,28,26,45,33,44,79,83,58,56,59,79,104,85,54,7,846,Asia
Austria,0,0,0,0,0,0,0,0,6,8,2,1,5,0,-,2,24,Europe
Belgium,21,9,23,32,43,55,36,57,25,12,8,14,10,29,1,-,375,Europe
Cyprus,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,4,Europe
Czech Republic,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,5,Europe
Denmark,1,5,3,6,7,5,5,1,1,10,3,2,1,2,2,-,54,Europe
France,2,85,79,116,91,-,1,-,1,1,25,-,82,51,27,-,561,Europe
Germany,0,0,98,115,47,1,-,41,51,47,45,43,22,31,31,-,572,Europe
Hungary,-,-,-,-,-,-,4,3,1,3,0,2,5,4,,1,23,Europe
Italy,0,1,2,2,49,2,2,-,4,1,-,-,-,-,-,-,63,Europe
Netherlands,-,-,-,1,-,1,-,4,1,1,2,27,18,-,-,1,56,Europe
Norway,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,,2,Europe
Poland,-,-,-,-,-,-,-,-,-,-,9,3,4,2,-,-,18,Europe
Portugal,3,17,8,15,16,0,-,-,-,-,1,1,-,-,-,-,61,Europe
Spain,9,54,6,2,7,1,12,36,5,21,14,23,21,15,17,,243,Europe
Sweden,-,-,-,-,-,-,-,-,1,2,4,-,1,1,-,-,9,Europe
Switzerland,133,64,26,6,4,5,7,5,49,37,55,34,45,28,26,,524,Europe
United Kingdom,,170,118,44,26,1,4,5,1,1,-,10,32,26,32,7,477,Europe
Subtotal,169,405,363,339,290,71,71,154,149,149,171,161,247,189,137,11,"3,076",Europe
Canada,0,0,0,0,0,1,-,1,-,21,19,9,22,-,-,-,73,North America
Mexico,,,,,-,-,-,1,1,-,-,-,-,-,-,-,2,North America
United States,-,452,264,234,172,112,199,218,194,221,182,227,185,157,1,1,"2,819",North America
Subtotal,0,452,264,234,172,113,199,220,195,242,201,236,207,157,1,1,"2,894",North America
Australia,-,-,-,-,-,-,-,45,89,69,47,39,34,-,52,-,375,Oceania
New Zealand,10,31,18,16,-,-,-,8,-,-,-,7,30,10,-,-,130,Oceania
Subtotal,10,31,18,16,0,0,0,53,89,69,47,47,64,10,52,0,506,Oceania
Grand Total,297,"1,019",869,809,712,379,509,626,657,658,627,635,707,559,332,31,"9,426",All
