Abundance(r ),# species,Site
1,14,Arvind
2,9,Arvind
3,4,Arvind
4,6,Arvind
5,4,Arvind
6,1,Arvind
7,7,Arvind
8,1,Arvind
9,0,Arvind
10,1,Arvind
11,1,Arvind
12,1,Arvind
13,0,Arvind
14,1,Arvind
15,1,Arvind
16,2,Arvind
17,0,Arvind
18,1,Arvind
19,1,Arvind
20,0,Arvind
21,2,Arvind
22,0,Arvind
23,2,Arvind
24,0,Arvind
25,0,Arvind
26,0,Arvind
27,1,Arvind
28,0,Arvind
29,0,Arvind
30,0,Arvind
31,0,Arvind
32,1,Arvind
33,0,Arvind
34,0,Arvind
35,0,Arvind
36,0,Arvind
37,1,Arvind
1,17,Dhoni
2,19,Dhoni
3,13,Dhoni
4,12,Dhoni
5,8,Dhoni
6,9,Dhoni
7,6,Dhoni
8,5,Dhoni
9,6,Dhoni
10,5,Dhoni
11,1,Dhoni
12,4,Dhoni
13,7,Dhoni
14,5,Dhoni
15,2,Dhoni
16,1,Dhoni
17,0,Dhoni
18,2,Dhoni
19,0,Dhoni
20,2,Dhoni
21,3,Dhoni
22,2,Dhoni
23,1,Dhoni
24,1,Dhoni
25,0,Dhoni
26,0,Dhoni
27,1,Dhoni
28,0,Dhoni
29,1,Dhoni
30,0,Dhoni
31,0,Dhoni
32,0,Dhoni
33,2,Dhoni
34,1,Dhoni
35,0,Dhoni
36,0,Dhoni
37,0,Dhoni
38,0,Dhoni
39,0,Dhoni
40,0,Dhoni
41,0,Dhoni
42,0,Dhoni
43,0,Dhoni
44,0,Dhoni
45,1,Dhoni
46,0,Dhoni
47,0,Dhoni
48,0,Dhoni
49,0,Dhoni
50,1,Dhoni
51,0,Dhoni
52,1,Dhoni
53,0,Dhoni
54,0,Dhoni
55,1,Dhoni
56,0,Dhoni
57,0,Dhoni
58,0,Dhoni
59,1,Dhoni
60,0,Dhoni
61,0,Dhoni
62,0,Dhoni
63,0,Dhoni
64,0,Dhoni
65,0,Dhoni
66,1,Dhoni
67,1,Dhoni
68,0,Dhoni
69,0,Dhoni
70,0,Dhoni
71,0,Dhoni
72,0,Dhoni
73,0,Dhoni
74,1,Dhoni
75,0,Dhoni
76,0,Dhoni
77,0,Dhoni
78,0,Dhoni
79,0,Dhoni
80,0,Dhoni
81,0,Dhoni
82,0,Dhoni
83,0,Dhoni
84,0,Dhoni
85,0,Dhoni
86,0,Dhoni
87,0,Dhoni
88,0,Dhoni
89,0,Dhoni
90,0,Dhoni
91,0,Dhoni
92,0,Dhoni
93,0,Dhoni
94,1,Dhoni
95,0,Dhoni
96,0,Dhoni
97,0,Dhoni
98,0,Dhoni
99,0,Dhoni
100,0,Dhoni
101,0,Dhoni
102,0,Dhoni
103,1,Dhoni
104,0,Dhoni
105,0,Dhoni
106,0,Dhoni
107,0,Dhoni
108,0,Dhoni
109,0,Dhoni
110,0,Dhoni
111,0,Dhoni
112,0,Dhoni
113,0,Dhoni
114,0,Dhoni
115,0,Dhoni
116,0,Dhoni
117,0,Dhoni
118,0,Dhoni
119,0,Dhoni
120,0,Dhoni
121,0,Dhoni
122,0,Dhoni
123,0,Dhoni
124,0,Dhoni
125,0,Dhoni
126,0,Dhoni
127,0,Dhoni
128,1,Dhoni
129,0,Dhoni
130,0,Dhoni
131,0,Dhoni
132,0,Dhoni
133,0,Dhoni
134,0,Dhoni
135,0,Dhoni
136,0,Dhoni
137,0,Dhoni
138,0,Dhoni
139,0,Dhoni
140,0,Dhoni
141,0,Dhoni
142,1,Dhoni
