Birthwt(gm),brainwt(gm)
3.5,17.5
0.93,3.5
0.15,3.15
0.05,1.14
0.06,1.37
2.1,22
1.2,12.8
0.7,9.9
7.7,54
3.7,73
9.1,114
7.7,109
0.22,7.8
6,84.6
8.7,107
21,183
32,179
4.6,67
5.8,65.5
5.5,102
37,343
45,360
140,406
65,1300
3.7,12
2.2,9.6
2.9,13.3
0.33,6.23
0.05,1.89
20,40
25,45
0.03,0.68
0.03,0.63
0.02,0.52
0.02,0.69
0.04,0.67
0.13,1.12
0.06,1.04
0.05,0.72
0.34,2.38
0.02,0.45
0.15,1.18
11,37
14,37
6.6,24
0.97,4.28
30,76
2.8,20.3
0.78,9.9
0.43,5.25
5,23
160,1600
56,537
8.5,70.2
6,48
3.8,37.3
3.2,28.5
250,400
250,500
5.3,41.6
2,31.2
6,53
2.5,28.4
12,75
46,157
180,260
210,302
250,355
100,363
110,442
400,550
2800,4480
3.8,20.5
480,712
230,250
150,185
190,180
1400,590
150,260
93,225
45,198
16,124
80,223
89,219
200,435
120,365
120,383
110,288
560,480
250,334
520,456
13,93
39,200
66,210
49,125
30,106
