Time(h),OD
0,0.09
1,0.089
2,0.09
3,0.092
4,0.097
5,0.112
6,0.135
7,0.161
8,0.186
9,0.206
10,0.231
11,0.256
12,0.278
13,0.298
14,0.313
15,0.327
16,0.338
17,0.347
18,0.357
19,0.366
20,0.373
21,0.381
22,0.388
23,0.394
24,0.4
25,0.411
26,0.412
27,0.417
28,0.421
29,0.425
30,0.427
31,0.429
32,0.431
33,0.432
34,0.434
35,0.434
36,0.435
37,0.435
38,0.435
39,0.436
40,0.435
41,0.435
42,0.434
43,0.435
44,0.434
45,0.433
46,0.433
47,0.433
48,0.432
48,0.431
50,0.431
51,0.431
52,0.43
53,0.43
54,0.431
55,0.43
56,0.43
57,0.43
58,0.43
59,0.429
60,0.43
