Species name,GBH (cm),Height (meters)
Acacia instia,24,50
Albizia chinensis,110,43
Albizia chinensis,57,35
Albizia chinensis,60,30
Albizia chinensis,153,70
Albizia chinensis,107,50
Albizia chinensis,32,25
Albizia chinensis,45,45
Albizia chinensis,57,50
Albizia chinensis,52,50
Albizia chinensis,70,50
Albizia chinensis,50,50
Albizia chinensis,50,50
Albizia chinensis,67,50
Albizia chinensis,30,20
Albizia chinensis,50,30
Albizia chinensis,57,45
Albizia chinensis,42,40
Albizia chinensis,35,25
Albizia chinensis,45,50
Albizia chinensis,40,50
Albizia chinensis,60,50
Albizia chinensis,52,45
Albizia chinensis,35,35
Albizia chinensis,67,50
Albizia chinensis,42,50
Albizia chinensis,30,20
Albizia chinensis,30,35
Albizia chinensis,52,50
Albizia chinensis,55,50
Albizia chinensis,55,50
Albizia chinensis,67,50
Albizia chinensis,37,45
Albizia chinensis,30,30
Albizia chinensis,21,45
Albizia chinensis,67,50
Albizia chinensis,45,50
Albizia chinensis,35,30
Albizia chinensis,35,30
Albizia chinensis,62,50
Albizia chinensis,45,40
Albizia chinensis,50,50
Albizia chinensis,45,50
Albizia chinensis,40,40
Albizia chinensis,62,50
Albizia chinensis,59,46
Albizia chinensis,46,34
Albizia chinensis,50,35
Albizia chinensis,37,30
Albizia chinensis,60,50
Albizia chinensis,32,25
Albizia chinensis,92,55
Albizia chinensis,52,50
Albizia chinensis,45,45
Albizia chinensis,52,35
Albizia chinensis,47,40
Albizia chinensis,47,35
Albizia chinensis,42,40
Albizia chinensis,37,40
Albizia chinensis,47,45
Albizia chinensis,45,40
Albizia chinensis,57,50
Albizia chinensis,35,40
Albizia chinensis,37,40
Albizia chinensis,47,40
Albizia chinensis,37,35
Albizia chinensis,70,50
Albizia chinensis,32,35
Albizia chinensis,32,30
Albizia chinensis,35,35
Albizia chinensis,32,25
Albizia chinensis,55,50
Albizia chinensis,75,55
Albizia chinensis,66,50
Albizia chinensis,30,35
Albizia chinensis,45,40
Albizia chinensis,47,35
Albizia chinensis,35,35
Albizia chinensis,32,30
Albizia chinensis,37,35
Albizia chinensis,35,30
Albizia chinensis,60,50
Albizia chinensis,65,50
Albizia chinensis,45,50
Albizia chinensis,40,40
Albizia chinensis,50,50
Albizia chinensis,45,40
Albizia chinensis,65,50
Albizia chinensis,45,40
Albizia chinensis,52,50
Albizia lebbeck,172,60
Albizia lebbeck,52,22
Pithecellobium bigeminum,36,20
Pithecellobium bigeminum,28,25
Xylia xylocarpa,185,60
Xylia xylocarpa,158,50
Xylia xylocarpa,145,50
Xylia xylocarpa,110,50
Xylia xylocarpa,39,20
Xylia xylocarpa,70,25
Xylia xylocarpa,63,35
Xylia xylocarpa,118,40
Xylia xylocarpa,115,50
Xylia xylocarpa,135,65
Xylia xylocarpa,88,40
Xylia xylocarpa,107,50
Xylia xylocarpa,84,50
Xylia xylocarpa,62,20
Xylia xylocarpa,148,56
Xylia xylocarpa,140,45
Xylia xylocarpa,92,30
Xylia xylocarpa,118,50
Xylia xylocarpa,92,35
Xylia xylocarpa,87,40
Xylia xylocarpa,110,40
Xylia xylocarpa,138,45
Xylia xylocarpa,108,40
Xylia xylocarpa,115,40
Xylia xylocarpa,98,35
Xylia xylocarpa,80,35
Xylia xylocarpa,125,45
Xylia xylocarpa,111,40
Xylia xylocarpa,51,20
Xylia xylocarpa,34,25
Xylia xylocarpa,176,40
Xylia xylocarpa,128,40
Xylia xylocarpa,124,35
Xylia xylocarpa,182,50
Xylia xylocarpa,154,40
