PLANT CODE,Month,EMPLOYEE CODE,QTY(MT)
1,3,11,2.978
1,11,11,0.608
1,11,11,0.568
1,12,11,0.603
1,12,11,0.229
1,12,11,0.757
1,2,11,0.414
2,11,11,0.124
2,11,11,0.262
2,11,11,0.331
2,11,11,0.488
2,11,11,1.146
2,11,11,0.753
2,11,11,0.399
2,11,11,0.564
2,12,11,0.266
2,12,11,0.19
2,12,11,0.857
2,12,11,1.012
2,12,11,0.711
2,12,11,0.558
2,12,11,0.635
2,12,11,0.289
2,12,11,0.304
2,12,11,0.566
2,12,11,0.578
2,12,11,1.076
2,12,11,0.339
2,12,11,0.728
2,1,11,0.594
2,1,11,0.313
2,1,11,0.384
2,1,11,0.689
2,1,11,0.985
2,1,11,1.002
2,1,11,0.38
2,1,11,0.38
2,2,11,0.397
2,2,11,0.292
2,2,11,0.293
2,2,11,0.384
2,2,11,0.574
2,2,11,0.758
2,3,11,0.987
2,3,11,0.588
2,3,11,0.858
2,3,11,0.847
1,7,11,0.767
1,7,11,0.393
1,5,11,1.296
1,6,11,0.184
1,10,11,2.123
1,6,11,2.035
1,7,11,4.656
1,5,11,2.384
2,4,11,0.502
2,5,11,0.743
2,7,11,1.077
2,8,11,0.509
2,8,11,1.339
2,4,11,1.047
2,5,11,1.158
2,7,11,1.107
2,9,11,1.681
2,4,11,0.546
2,5,11,1.258
2,9,11,1.164
2,9,11,0.947
2,4,11,2.063
2,9,11,2.549
2,7,11,0.507
2,8,11,0.426
2,8,11,0.607
2,9,11,0.478
2,7,11,0.567
2,8,11,0.965
2,7,11,0.537
2,7,11,0.628
2,9,11,0.339
2,8,11,0.718
1,11,11,1.48
1,3,11,1.549
1,3,11,4.685
1,3,11,0.356
1,3,11,1.775
2,11,11,1.077
2,1,11,1.057
2,3,11,1.502
2,3,11,0.569
2,3,11,1.402
1,10,11,9.83
1,10,11,1.528
1,8,11,0.873
1,9,11,2.14
1,6,11,2.071
1,10,11,2.87
1,9,11,1.413
1,8,11,0.933
1,7,11,0.394
1,9,11,0.657
1,9,11,0.988
2,4,11,1.259
2,9,11,0.91
2,4,11,0.514
2,7,11,1.068
2,4,11,1.038
2,6,11,0.968
2,9,11,1.1
2,10,11,1.12
2,8,11,0.833
2,9,11,2.122
2,4,11,2.047
2,7,11,2.189
2,10,11,2.378
2,4,11,2.085
2,7,11,2.009
2,10,11,2.17
2,7,11,2.896
2,10,11,1.98
2,4,11,1.254
2,6,11,5.214
2,8,11,1.722
2,9,11,3.095
2,7,11,0.995
2,4,11,0.612
2,4,11,0.985
2,7,11,2.567
2,4,11,2.01
2,7,11,2.03
2,8,11,2.63
2,7,11,1.038
2,8,11,1.048
2,7,11,1.078
2,7,11,2.56
2,8,11,2.176
2,4,11,2.168
2,5,11,1.068
2,7,11,1.137
2,10,11,1.077
2,10,11,1.752
2,7,11,0.277
2,7,11,0.28
2,9,11,1.666
2,6,11,2.136
1,6,1,0.504
1,6,1,0.497
1,6,1,0.199
1,5,1,0.989
1,5,1,1.521
1,10,1,0.197
1,6,1,2.302
1,4,1,10.56
1,4,1,5.3
1,4,1,2.096
1,5,1,2.126
1,5,1,5.01
1,5,1,9.942
1,6,1,2.292
1,6,1,5.24
1,6,1,5.31
1,6,1,10.129
1,4,1,3.053
1,5,1,4.82
1,5,1,6.341
1,6,1,1.041
1,6,1,4.609
1,6,1,10.202
1,4,1,5.317
1,4,1,1.995
1,4,1,5.04
1,4,1,3.573
1,6,1,5.164
1,4,1,7.215
1,5,1,3.773
1,5,1,10.211
1,4,1,6.626
1,4,1,2.883
1,4,1,5.935
1,4,1,5.16
1,4,1,5.58
1,5,1,7.796
1,5,1,1.518
1,6,1,4.87
1,6,1,4.96
1,6,1,10.168
1,4,1,0.32
1,5,1,5.239
1,5,1,9.467
1,5,1,1.611
1,6,1,4.563
1,6,1,4.717
1,6,1,3.291
1,6,1,3.958
1,4,1,4.997
1,4,1,2.006
1,4,1,4.968
1,4,1,6.606
1,5,1,5.037
1,6,1,5.742
1,4,1,5.23
1,5,1,4.601
1,5,1,5.147
1,5,1,0.353
2,5,1,0.247
2,6,1,0.555
2,6,1,0.079
2,4,1,1.074
2,5,1,0.995
2,5,1,0.278
2,4,1,2.369
2,5,1,1.91
2,4,1,1.98
2,5,1,2.866
2,6,1,1.98
2,5,1,2.03
2,6,1,0.468
2,5,1,1.522
2,4,1,2.096
2,6,1,5.283
2,4,1,1.845
2,4,1,3.212
2,4,1,5.211
2,4,1,2.964
2,4,1,1.058
2,6,1,4.233
2,4,1,2.675
2,5,1,0.529
2,5,1,2.046
2,5,1,3.403
2,6,1,2.106
2,6,1,3.095
2,4,1,4.173
2,4,1,3.493
2,5,1,4.343
2,5,1,9.892
2,6,1,2.056
2,6,1,4.073
2,6,1,4.841
2,4,1,4.073
2,4,1,5.101
2,4,1,4.981
2,4,1,3.154
2,4,1,6.808
2,4,1,2.096
2,5,1,0.998
2,5,1,4.662
2,5,1,4.692
2,5,1,5.301
2,5,1,5.799
2,5,1,6.269
2,6,1,3.104
2,6,1,4.921
2,6,1,4.991
2,6,1,5.121
2,6,1,10.351
2,4,1,2.645
2,4,1,3.124
2,6,1,4.791
2,6,1,5.161
2,4,1,5.121
2,4,1,0.559
2,5,1,2.017
2,5,1,2.166
2,5,1,3.194
2,5,1,5.371
2,5,1,7.427
2,6,1,4.722
2,6,1,10.161
2,4,1,10.312
2,4,1,4.772
2,5,1,2.047
2,5,1,4.482
2,5,1,5.071
2,5,1,8.085
2,6,1,5.331
2,6,1,7.317
2,6,1,1.896
2,4,1,5.301
2,5,1,2.056
2,5,1,1.018
2,6,1,5.321
2,4,1,1.038
2,4,1,5.929
2,6,1,5.191
2,12,11,0.575
2,12,11,0.575
2,12,11,0.587
2,12,11,0.567
2,12,11,0.539
1,7,2,0.015
1,7,2,0.098
1,7,2,0.455
1,8,2,0.529
1,7,2,0.353
1,7,2,0.644
1,8,2,0.842
1,9,2,0.257
1,9,2,1.086
1,10,2,0.193
1,10,2,0.435
1,10,2,0.201
1,7,2,0.059
1,7,2,0.555
1,7,2,0.629
1,9,2,0.975
1,7,2,1.044
1,7,2,0.455
1,8,2,1.004
1,9,2,0.601
1,7,2,0.9
1,7,2,1.056
1,7,2,1.021
1,8,2,0.762
1,8,2,2.832
1,8,2,0.599
1,9,2,1.521
1,9,2,0.082
1,10,2,0.5
1,10,2,1.019
1,7,2,0.367
1,9,2,0.246
1,10,2,0.334
1,7,2,1.387
1,9,2,0.865
1,8,2,0.976
1,9,2,0.284
1,9,2,0.718
1,10,2,0.204
1,10,2,0.779
1,7,2,0.189
1,7,2,0.362
1,7,2,0.513
1,7,2,0.797
1,7,2,1.101
1,7,2,1.199
1,7,2,1.628
1,7,2,0.639
1,8,2,0.445
1,8,2,0.467
1,9,2,1.063
1,7,2,2.889
1,8,2,2.063
1,10,2,1.097
1,7,2,2.685
1,7,2,0.995
1,8,2,0.787
1,8,2,1.199
1,8,2,2.953
1,9,2,1.004
1,7,2,0.553
1,8,2,0.983
1,9,2,0.737
1,9,2,0.205
1,9,2,0.429
1,9,2,0.658
1,9,2,1.947
1,7,2,3.197
1,7,2,0.379
1,10,2,0.396
1,7,2,0.2
1,7,2,0.493
1,7,2,0.938
1,7,2,1.632
1,7,2,3.266
1,9,2,4.946
1,10,2,0.393
1,7,2,5.2
1,8,2,8.345
1,9,2,0.609
1,10,2,2.046
1,10,2,0.394
1,10,2,1.823
1,10,2,3.646
1,7,2,1.005
1,7,2,1.296
1,7,2,2.925
1,7,2,6.548
1,9,2,0.582
1,10,2,0.564
1,10,2,0.511
1,10,2,1.538
1,8,2,0.779
1,8,2,2.353
1,8,2,2.861
1,9,2,0.823
1,10,2,2.031
1,7,2,0.508
1,7,2,1.044
1,7,2,1.244
1,7,2,4.99
1,8,2,7.104
1,9,2,2.62
1,9,2,2.339
1,9,2,0.489
1,10,2,6.914
1,7,2,0.584
1,7,2,9.942
1,8,2,1.064
1,9,2,1.081
1,9,2,9.35
1,9,2,10.767
1,10,2,10.351
1,7,2,9.689
1,7,2,1.311
1,7,2,2.196
1,7,2,1.67
1,7,2,3.878
1,7,2,4.831
1,7,2,5.053
1,7,2,8.842
1,7,2,8.947
1,7,2,9.222
1,7,2,9.82
1,7,2,10
1,7,2,13.032
1,7,2,18.425
1,7,2,5.189
1,8,2,3.05
1,8,2,10.08
1,8,2,3.963
1,8,2,4.315
1,8,2,5.28
1,8,2,8.415
1,8,2,10.01
1,8,2,10.348
1,8,2,10.778
1,9,2,8.351
1,9,2,3.811
1,9,2,8.203
1,9,2,8.624
1,9,2,0.957
1,9,2,2.28
1,9,2,1.525
1,9,2,2.411
1,9,2,4.595
1,9,2,4.769
1,9,2,5.84
1,9,2,7.77
1,9,2,8.39
1,9,2,12.272
1,9,2,16.692
1,9,2,18.609
1,9,2,4.007
1,9,2,4.297
1,10,2,8.116
1,10,2,9.93
1,10,2,10.918
1,10,2,2.235
