Month,Year,Recorded cases of Paralytic Poliomyelitis in Greater Bombay,,,,,,,,,,,
2,1960,13,,,,,,,,,,,
3,1960,28,,,,,,,,,,,
4,1960,26,,,,,,,,,,,
5,1960,33,,,,,,,,,,,
6,1960,31,,,,,,,,,,,
7,1960,77,,,,,,,,,,,
8,1960,92,,,,,,,,,,,
9,1960,81,,,,,,,,,,,
10,1960,47,,,,,,,,,,,
11,1960,50,,,,,,,,,,,
12,1960,19,,,,,,,,,,,
1,1961,10,,,,,,,,,,,
2,1961,9,,,,,,,,,,,
3,1961,5,,,,,,,,,,,
4,1961,9,,,,,,,,,,,
5,1961,10,,,,,,,,,,,
6,1961,21,,,,,,,,,,,
7,1961,35,,,,,,,,,,,
8,1961,51,,,,,,,,,,,
9,1961,35,,,,,,,,,,,
10,1961,24,,,,,,,,,,,
11,1961,14,,,,,,,,,,,
12,1961,10,,,,,,,,,,,
1,1962,9,,,,,,,,,,,
2,1962,6,,,,,,,,,,,
3,1962,13,,,,,,,,,,,
4,1962,13,,,,,,,,,,,
5,1962,18,,,,,,,,,,,
6,1962,24,,,,,,,,,,,
7,1962,67,,,,,,,,,,,
8,1962,56,,,,,,,,,,,
9,1962,58,,,,,,,,,,,
10,1962,34,,,,,,,,,,,
11,1962,19,,,,,,,,,,,
12,1962,23,,,,,,,,,,,
1,1963,15,,,,,,,,,,,
2,1963,12,,,,,,,,,,,
3,1963,13,,,,,,,,,,,
4,1963,26,,,,,,,,,,,
5,1963,28,,,,,,,,,,,
6,1963,34,,,,,,,,,,,
7,1963,51,,,,,,,,,,,
8,1963,54,,,,,,,,,,,
9,1963,42,,,,,,,,,,,
10,1963,44,,,,,,,,,,,
11,1963,33,,,,,,,,,,,
12,1963,34,,,,,,,,,,,
1,1964,29,,,,,,,,,,,
2,1964,17,,,,,,,,,,,
3,1964,22,,,,,,,,,,,
4,1964,30,,,,,,,,,,,
5,1964,55,,,,,,,,,,,
6,1964,50,,,,,,,,,,,
7,1964,116,,,,,,,,,,,
8,1964,131,,,,,,,,,,,
9,1964,109,,,,,,,,,,,
10,1964,92,,,,,,,,,,,
11,1964,37,,,,,,,,,,,
12,1964,35,,,,,,,,,,,
1,1965,34,,,,,,,,,,,
2,1965,19,,,,,,,,,,,
3,1965,23,,,,,,,,,,,
4,1965,19,,,,,,,,,,,
5,1965,26,,,,,,,,,,,
6,1965,32,,,,,,,,,,,
7,1965,66,,,,,,,,,,,
