Preservative level,pH,Water Activity (Aw),Response(Growth/No growth)
0,4,1,0
0,5,1,1
0,6,1,1
0,7,1,1
0,8,1,1
0,9,1,1
0,4,0.98,0
0,5,0.98,1
0,6,0.98,1
0,7,0.98,1
0,8,0.98,1
0,9,0.98,1
0,4,0.96,0
0,5,0.96,1
0,6,0.96,1
0,7,0.96,1
0,8,0.96,1
0,9,0.96,1
0,4,0.93,0
0,5,0.93,0
0,6,0.93,0
0,7,0.93,0
0,8,0.93,0
0,9,0.93,0
0,4,0.9,0
0,5,0.9,0
0,6,0.9,0
0,7,0.9,0
0,8,0.9,0
0,9,0.9,0
0.025,4,1,0
0.025,5,1,0
0.025,6,1,0
0.025,7,1,0
0.025,8,1,0
0.025,9,1,0
0.025,4,0.98,0
0.025,5,0.98,0
0.025,6,0.98,0
0.025,7,0.98,0
0.025,8,0.98,0
0.025,9,0.98,0
0.025,4,0.96,0
0.025,5,0.96,0
0.025,6,0.96,0
0.025,7,0.96,0
0.025,8,0.96,0
0.025,9,0.96,0
0.025,4,0.93,0
0.025,5,0.93,0
0.025,6,0.93,0
0.025,7,0.93,0
0.025,8,0.93,0
0.025,9,0.93,0
0.025,4,0.9,0
0.025,5,0.9,0
0.025,6,0.9,0
0.025,7,0.9,0
0.025,8,0.9,0
0.025,9,0.9,0
