Week,Date,Hour,Line no.,Operator,Actual weight  (in g),VENDOR
3,24,9,2,O1,150,V2
3,24,9,2,O1,150.2,V2
3,24,9,2,O1,150.3,V2
3,24,9,2,O1,150.2,V2
3,24,9,2,O1,150.1,V2
3,24,9,2,O1,150.1,V2
3,24,9,2,O1,149.9,V2
3,24,9,2,O1,150,V2
3,24,9,2,O1,150.2,V2
3,24,9,2,O1,150.1,V2
3,24,10,2,O1,149.9,V2
3,24,10,2,O1,150,V2
3,24,10,2,O1,150.2,V2
3,24,10,2,O1,150.3,V2
3,24,10,2,O1,150.1,V2
3,24,10,2,O1,150.2,V2
3,24,10,2,O1,150,V2
3,24,10,2,O1,150.2,V2
3,24,10,2,O1,150.1,V2
3,24,10,2,O1,150,V2
3,24,11,2,O1,150,V2
3,24,11,2,O1,150.2,V2
3,24,11,2,O1,150.3,V2
3,24,11,2,O1,150.1,V2
3,24,11,2,O1,150,V2
3,24,11,2,O1,150.2,V2
3,24,11,2,O1,150.3,V2
3,24,11,2,O1,150,V2
3,24,11,2,O1,150.1,V2
3,24,11,2,O1,150,V2
3,24,12,2,O1,150,V2
3,24,12,2,O1,150.2,V2
3,24,12,2,O1,150.1,V2
3,24,12,2,O1,150.2,V2
3,24,12,2,O1,150.3,V2
3,24,12,2,O1,150.1,V2
3,24,12,2,O1,150.3,V2
3,24,12,2,O1,150.2,V2
3,24,12,2,O1,150.1,V2
3,24,12,2,O1,150.2,V2
3,24,13,2,O1,150,V2
3,24,13,2,O1,150.2,V2
3,24,13,2,O1,150.3,V2
3,24,13,2,O1,150.1,V2
3,24,13,2,O1,150.2,V2
3,24,13,2,O1,150.1,V2
3,24,13,2,O1,150.3,V2
3,24,13,2,O1,150,V2
3,24,13,2,O1,150.2,V2
3,24,13,2,O1,150,V2
3,24,14,2,O1,150.1,V2
3,24,14,2,O1,150.2,V2
3,24,14,2,O1,150,V2
3,24,14,2,O1,150.1,V2
3,24,14,2,O1,150.2,V2
3,24,14,2,O1,150.3,V2
3,24,14,2,O1,150,V2
3,24,14,2,O1,150.1,V2
3,24,14,2,O1,150.1,V2
3,24,14,2,O1,150.3,V2
3,24,15,2,O1,150,V2
3,24,15,2,O1,150.2,V2
3,24,15,2,O1,150.3,V2
3,24,15,2,O1,150,V2
3,24,15,2,O1,150.1,V2
3,24,15,2,O1,150.2,V2
3,24,15,2,O1,150,V2
3,24,15,2,O1,150.1,V2
3,24,15,2,O1,150.3,V2
3,24,15,2,O1,150.1,V2
3,24,16,2,O1,150,V2
3,24,16,2,O1,150.2,V2
3,24,16,2,O1,150,V2
3,24,16,2,O1,150.1,V2
3,24,16,2,O1,150.1,V2
3,24,16,2,O1,150,V2
3,24,16,2,O1,150.1,V2
3,24,16,2,O1,150.3,V2
3,24,16,2,O1,150.1,V2
3,24,16,2,O1,150.2,V2
3,24,17,2,O2,150,V2
3,24,17,2,O2,150.1,V2
3,24,17,2,O2,150.2,V2
3,24,17,2,O2,150.3,V2
3,24,17,2,O2,150,V2
3,24,17,2,O2,150.1,V2
3,24,17,2,O2,150.2,V2
3,24,17,2,O2,150,V2
3,24,17,2,O2,150.1,V2
3,24,17,2,O2,150.2,V2
3,24,18,2,O2,150,V2
3,24,18,2,O2,150.1,V2
3,24,18,2,O2,150.2,V2
3,24,18,2,O2,150.3,V2
3,24,18,2,O2,150,V2
3,24,18,2,O2,150.1,V2
3,24,18,2,O2,150.2,V2
3,24,18,2,O2,150.3,V2
3,24,18,2,O2,150.1,V2
3,24,18,2,O2,150.2,V2
3,24,19,2,O2,150,V2
3,24,19,2,O2,150.1,V2
3,24,19,2,O2,150.3,V2
3,24,19,2,O2,150.2,V2
3,24,19,2,O2,150.1,V2
3,24,19,2,O2,150.3,V2
3,24,19,2,O2,150.1,V2
3,24,19,2,O2,150.2,V2
3,24,19,2,O2,150,V2
3,24,19,2,O2,150.1,V2
3,24,20,2,O2,150.1,V2
3,24,20,2,O2,150.2,V2
3,24,20,2,O2,150.3,V2
3,24,20,2,O2,150.1,V2
3,24,20,2,O2,150.2,V2
3,24,20,2,O2,150,V2
3,24,20,2,O2,150.3,V2
3,24,20,2,O2,150.1,V2
3,24,20,2,O2,150.2,V2
3,24,20,2,O2,150.1,V2
3,24,21,2,O2,150,V2
3,24,21,2,O2,150.2,V2
3,24,21,2,O2,150.1,V2
3,24,21,2,O2,150.3,V2
3,24,21,2,O2,150,V2
3,24,21,2,O2,150.3,V2
3,24,21,2,O2,150.2,V2
3,24,21,2,O2,150.1,V2
3,24,21,2,O2,150,V2
3,24,21,2,O2,150.1,V2
3,24,22,2,O2,150.1,V2
3,24,22,2,O2,150.2,V2
3,24,22,2,O2,150.3,V2
3,24,22,2,O2,150.1,V2
3,24,22,2,O2,150.2,V2
3,24,22,2,O2,150,V2
3,24,22,2,O2,150.1,V2
3,24,22,2,O2,150.2,V2
3,24,22,2,O2,150,V2
3,24,22,2,O2,150.1,V2
3,24,23,2,O2,150,V2
3,24,23,2,O2,150.1,V2
3,24,23,2,O2,150.2,V2
3,24,23,2,O2,150.3,V2
3,24,23,2,O2,150,V2
3,24,23,2,O2,150.1,V2
3,24,23,2,O2,150.2,V2
3,24,23,2,O2,150,V2
3,24,23,2,O2,150.1,V2
3,24,23,2,O2,150.2,V2
2,6,9,1,O1,150.3,V3
2,6,9,1,O1,150.1,V3
2,6,9,1,O1,150,V3
2,6,9,1,O1,150.1,V3
2,6,9,1,O1,150.3,V3
2,6,9,1,O1,150.1,V3
2,6,9,1,O1,150,V3
2,6,9,1,O1,150.1,V3
2,6,9,1,O1,150.2,V3
2,6,9,1,O1,150.1,V3
2,6,10,1,O1,150.1,V3
2,6,10,1,O1,150,V3
2,6,10,1,O1,150.1,V3
2,6,10,1,O1,150.2,V3
2,6,10,1,O1,150.1,V3
2,6,10,1,O1,150.2,V3
2,6,10,1,O1,150.1,V3
2,6,10,1,O1,150.3,V3
2,6,10,1,O1,150.1,V3
2,6,10,1,O1,150,V3
2,6,11,1,O1,150.3,V3
2,6,11,1,O1,150.1,V3
2,6,11,1,O1,150,V3
2,6,11,1,O1,150.1,V3
2,6,11,1,O1,150.2,V3
2,6,11,1,O1,150.1,V3
2,6,11,1,O1,150,V3
2,6,11,1,O1,150.1,V3
2,6,11,1,O1,150.3,V3
2,6,11,1,O1,150.1,V3
2,7,9,1,O1,150.2,V3
2,7,9,1,O1,150,V3
2,7,9,1,O1,150.1,V3
2,7,9,1,O1,150.3,V3
2,7,9,1,O1,150.1,V3
