Day,Reading
1.00,102
1.00,100
1.00,102
1.00,101
1.00,100
2.00,103
2.00,103
2.00,102
2.00,103
2.00,102
3.00,99
3.00,98
3.00,104
3.00,102
3.00,101
4.00,104
4.00,103
4.00,100
4.00,102
5.00,101
5.00,102
6.00,102
6.00,101
6.00,100
6.00,103
6.00,103
7.00,102
7.00,102
7.00,101
7.00,102
7.00,102
7.00,101
7.00,102
7.00,102
8.00,102
8.00,100
8.00,97
8.00,100
8.00,100
9.00,101
9.00,100
9.00,97
9.00,100
9.00,100
10.00,101
10.00,99
10.00,99
10.00,105
10.00,105
11.00,104
11.00,102
11.00,101
11.00,104
11.00,103
11.00,100
12.00,100
12.00,99
12.00,101
12.00,102
12.00,102
13.00,100
13.00,100
13.00,100
14.00,101
14.00,103
14.00,101
14.00,103
14.00,104
15.00,100
15.00,100
15.00,100
15.00,99
15.00,102
16.00,101
16.00,99
16.00,100
16.00,103
16.00,102
17.00,103
17.00,101
17.00,101
17.00,102
17.00,102
18.00,102
18.00,101
18.00,101
18.00,100
18.00,105
19.00,101
19.00,100
19.00,101
19.00,106
19.00,105
20.00,102
20.00,102
20.00,102
20.00,102
21.00,101
21.00,101
21.00,102
21.00,101
21.00,102
22.00,99
22.00,98
22.00,99
22.00,102
22.00,103
23.00,103
23.00,102
23.00,102
23.00,102
23.00,101
23.00,104
24.00,103
24.00,101
24.00,99
24.00,102
24.00,102
24.00,102
25.00,103
25.00,100
25.00,102
25.00,102
25.00,100
26.00,101
26.00,100
26.00,99
26.00,102
27.00,101
27.00,97
27.00,101
27.00,90
27.00,101
28.00,101
28.00,101
28.00,97
28.00,102
28.00,104
29.00,101
29.00,101
29.00,102
29.00,102
30.00,102
30.00,99
30.00,99
30.00,99
30.00,100
31.00,102
31.00,102
31.00,97
31.00,102
31.00,102
32.00,101
32.00,100
32.00,100
32.00,100
32.00,100
33.00,102
33.00,101
33.00,101
33.00,102
33.00,101
34.00,101
34.00,101
34.00,101
34.00,102
34.00,102
34.00,102
35.00,101
35.00,101
35.00,102
35.00,102
35.00,102
35.00,101
36.00,104
36.00,101
36.00,104
36.00,102
36.00,102
36.00,103
37.00,103
37.00,102
37.00,101
37.00,104
37.00,102
37.00,102
38.00,100
38.00,103
38.00,102
38.00,104
39.00,102
39.00,103
39.00,102
39.00,101
39.00,102
39.00,101
40.00,101
40.00,100
40.00,100
40.00,100
