YEAR,DATE,MONTH,MAXT,MINT
45,1,1,316,118
45,2,1,312,133
45,3,1,308,134
45,4,1,313,127
45,5,1,318,138
45,6,1,311,44
45,7,1,229,34
45,8,1,281,106
45,9,1,302,117
45,10,1,295,118
45,11,1,294,109
45,12,1,300,157
45,13,1,308,122
45,14,1,303,189
45,15,1,303,167
45,16,1,319,124
45,17,1,321,163
45,18,1,320,167
45,19,1,327,153
45,20,1,322,156
45,21,1,319,114
45,22,1,316,128
45,23,1,318,150
45,24,1,311,164
45,25,1,314,128
45,26,1,311,137
45,27,1,310,109
45,28,1,311,139
45,29,1,307,156
45,30,1,319,154
45,31,1,329,139
45,1,2,318,146
45,2,2,283,*
45,3,2,308,*
45,4,2,319,103
45,5,2,322,126
45,6,2,338,128
45,7,2,343,150
45,8,2,350,159
45,9,2,349,130
45,10,2,362,154
45,11,2,353,118
45,12,2,356,153
45,13,2,371,153
45,14,2,354,142
45,15,2,333,123
45,16,2,336,140
45,17,2,350,138
45,18,2,352,139
45,19,2,322,100
45,20,2,337,136
45,21,2,344,179
45,22,2,343,179
45,23,2,347,206
45,24,2,339,194
45,25,2,349,178
45,26,2,350,147
45,27,2,353,177
45,28,2,372,193
45,1,3,362,167
45,2,3,353,170
45,3,3,360,169
45,4,3,356,175
45,5,3,353,144
45,6,3,350,167
45,7,3,372,217
45,8,3,357,199
45,9,3,358,197
45,10,3,360,189
45,11,3,361,182
45,12,3,375,183
45,13,3,382,177
45,14,3,382,201
45,15,3,388,194
45,16,3,388,206
45,17,3,394,184
45,18,3,392,200
45,19,3,386,180
45,20,3,384,182
45,21,3,388,177
45,22,3,389,177
45,23,3,394,177
45,24,3,394,197
45,25,3,397,199
45,26,3,397,199
45,27,3,400,208
45,28,3,393,210
45,29,3,400,203
45,30,3,408,222
45,31,3,403,232
45,1,4,394,219
45,2,4,371,236
45,3,4,397,215
45,4,4,406,216
45,5,4,413,228
45,6,4,414,233
45,7,4,418,231
45,8,4,408,203
45,9,4,394,211
45,10,4,400,218
45,11,4,403,206
45,12,4,400,189
45,13,4,406,247
45,14,4,400,211
45,15,4,372,234
45,16,4,400,232
45,17,4,386,248
45,18,4,378,256
45,19,4,372,200
45,20,4,356,211
45,21,4,354,192
45,22,4,372,221
45,23,4,389,236
45,24,4,389,224
45,25,4,389,244
45,26,4,406,232
45,27,4,400,221
45,28,4,381,231
45,29,4,386,233
45,30,4,400,228
45,1,5,399,256
45,2,5,403,261
45,3,5,392,246
45,4,5,417,244
45,5,5,428,222
45,6,5,419,246
45,7,5,417,239
45,8,5,394,217
45,9,5,408,225
45,10,5,397,222
45,11,5,406,219
45,12,5,417,274
45,13,5,421,257
45,14,5,419,278
45,15,5,408,253
45,16,5,433,263
45,17,5,428,239
45,18,5,417,231
45,19,5,406,244
