Day,Cumilative_Percentage_Germination,Locality,Variety
6,29.90353698,Sholapur ,Variety 1
7,49.82315113,Sholapur ,Variety 1
8,54.79099678,Sholapur ,Variety 1
9,56.38263666,Sholapur ,Variety 1
10,58.93890675,Sholapur ,Variety 1
11,59.90353698,Sholapur ,Variety 1
12,59.90353698,Sholapur ,Variety 1
13,60,Sholapur ,Variety 1
15,60,Sholapur ,Variety 1
4,2.900195695,Jalgaon,Variety 1
5,27.47749511,Jalgaon,Variety 1
6,33.2035225,Jalgaon,Variety 1
7,35.58317025,Jalgaon,Variety 1
8,36.36399217,Jalgaon,Variety 1
9,36.97749511,Jalgaon,Variety 1
10,38,Jalgaon,Variety 1
6,29.59449071,Sholapur ,Variety 2
7,46.07367072,Sholapur ,Variety 2
8,54.3888533,Sholapur ,Variety 2
9,55.22037156,Sholapur ,Variety 2
10,56.88340807,Sholapur ,Variety 2
11,57.94170404,Sholapur ,Variety 2
12,59,Sholapur ,Variety 2
13,58.58424087,Sholapur ,Variety 2
15,56.88340807,Sholapur ,Variety 2
4,2.325908558,Jalgaon,Variety 2
5,19.22508792,Jalgaon,Variety 2
6,24.83997655,Jalgaon,Variety 2
7,27.96541618,Jalgaon,Variety 2
8,28.36518171,Jalgaon,Variety 2
9,29.72801876,Jalgaon,Variety 2
10,31,Jalgaon,Variety 2
