SlNo,Qno.,Species Name,Number Ind
1,1,Chasalia curviflora,5
2,1,Unona pannosa,3
3,1,Fern?,15
4,1,Dracaena terniflora,2
5,1,Piper longum,2
6,1,Xanthophyllum flavescens,4
7,1,Begonia malabarica,1
8,1,Psychotria flavida,1
9,1,Jasminum reottelarianum,1
10,1,Fern?,25
11,1,Piper longum,1
12,1,Piper sps,1
13,1,Chasalia curviflora,2
14,1,Myxopyrum serratulum,1
15,1,Cinnamomum malabathrum,2
16,1,Xanthophyllum flavescens,1
17,1,Piper longum,4
18,1,Acacia intsia,1
19,1,Fern?,3
20,1,Canthium rheedei,1
21,1,Sapindus laurifolia,2
22,1,Myxopyrum serratulum,1
23,1,Pothos scandens,2
24,1,Piper longum,1
25,2,Unona pannosa,7
26,2,Xanthophyllum flavescens,3
27,2,Myxopyrum serratulum,1
28,2,Caryota urens,1
29,2,Mallotus philippensis,1
30,2,Piper longum,2
31,2,Crinum deflexum,2
32,2,Piper longum,5
33,2,Unona pannosa,3
34,2,Chasalia curviflora,3
35,2,Thottea siliquosa,4
36,2,Fern?,2
37,2,??,4
38,2,Myxopyrum serratulum,4
39,2,Unona pannosa,3
40,2,Chasalia curviflora,2
41,2,Chasalia curviflora,2
42,2,Myxopyrum serratulum,5
43,2,Pothos scandens,1
44,2,??,3
45,2,Crinum deflexum,1
46,3,Xylia xylocarpa,1
47,3,Unona pannosa,1
48,3,Piper longum,6
49,3,Unona pannosa,3
50,3,Piper longum,8
51,3,Acacia intsia,1
52,3,Fern?,2
53,3,Cinnamomum malabathrum,1
54,3,Psychotria flavida,5
55,3,Chasalia curviflora,1
56,3,Unona pannosa,3
57,3,Xylia xylocarpa,1
58,3,Piper longum,13
59,3,Cinnamomum malabathrum,1
60,3,??,1
61,3,Holostemma ada-kodien,1
62,3,Tabernaemontana heyneana,1
63,3,??,2
64,3,Mallotus philippensis,1
65,3,Mikania scandens,1
66,3,Piper longum,5
67,3,Chasalia curviflora,3
68,3,??,1
69,3,Clerodendrum viscosum,2
70,3,Selaginella sps,2
71,4,Myxopyrum serratulum,9
72,4,Piper longum,1
73,4,Andrographis atropurpurea,5
74,4,Fern?,1
75,4,Chasalia curviflora,2
76,4,Mallotus philippensis,1
77,4,Myxopyrum serratulum,5
78,4,Xanthophyllum flavescens,1
79,4,??,2
80,4,Thottea siliquosa,2
81,4,Crinum deflexum,2
82,4,Piper longum,3
83,4,Fern?,3
84,4,Unona pannosa,2
85,4,Crinum deflexum,1
86,4,Myxopyrum serratulum,8
87,4,Andrographis atropurpurea,3
88,4,Fern?,3
89,4,Xanthophyllum flavescens,1
90,4,??,1
91,4,Fern?,3
92,4,Selaginella sps,1
93,4,Piper longum,16
94,4,??,2
95,4,Myxopyrum serratulum,1
96,5,Xanthophyllum flavescens,4
97,5,Hydnocarpus pentandra,2
98,5,Fern?,2
99,5,Piper longum,1
100,5,Fern?,9
101,5,Cinnamomum malabathrum,1
102,5,Xanthophyllum flavescens,2
103,5,Psychotria flavida,2
104,5,Unona pannosa,2
105,5,Xanthophyllum flavescens,3
106,5,climber?,1
107,5,Cinnamomum malabathrum,1
108,5,Piper longum,2
109,5,Unona pannosa,2
110,5,Xanthophyllum flavescens,1
111,5,Crinum deflexum,1
112,5,Fern?,1
113,5,Mikania scandens,1
114,5,Cassia occidentale,1
115,5,Pothos scandens,1
116,6,Unona pannosa,2
117,6,Xanthophyllum flavescens,5
118,6,Fern?,18
119,6,Dioscorea bulbifera,2
120,6,Piper longum,1
121,6,Myxopyrum serratulum,4
122,6,??,2
123,6,Unona pannosa,2
124,6,Piper longum,7
125,6,Fern?,3
126,6,Unona pannosa,2
127,6,Piper longum,22
128,6,Fern?,1
129,6,Mikania scandens,1
130,6,Piper longum,19
131,6,Chasalia curviflora,1
132,6,Eupatorium odoratum,1
133,6,Fern?,1
134,6,climber?,2
135,6,Xanthophyllum flavescens,1
136,6,Naragami aalata,1
137,6,Mikania scandens,2
138,6,Dioscorea bulbifera,1
139,7,Biophytum sensitivum,1
140,7,Molineria trichocarpa,8
141,7,Helicteres isora,1
142,7,Clerodendrum viscosum,2
143,7,Eupatorium odoratum,5
144,7,Anogeissus latifolia,1
145,7,Bryophyllum pinnatum,1
146,7,Hemidesmus indicus,1
147,7,Calycopteris floribunda,3
148,7,Xylia xylocarpa,1
149,7,Macaranga peltata,1
150,7,Piper longum,8
151,7,Strychnos nux-vomica,1
152,7,Axonopus copmpressus,6
153,7,Macaranga peltata,2
154,7,Eupatorium odoratum,1
155,7,??,9
156,8,Piper longum,1
157,8,Andrographis atropurpurea,12
158,8,Axonopus copmpressus,1
159,8,??,1
