SlNo,Qno,Scientific Name,Number Ind
1,32,Ficus callosa,1
2,32,Musa indica,1
3,33,Aporusa lindleyana,9
4,33,Tabernaemontana heyneana,2
5,33,Canthium rheedei,1
6,33,Jasminum rottelerianum,20
7,33,Eupatorium odoratum,19
8,33,Pothos scandens,1
9,34,Terminalia paniculata,1
10,34,Osbeckia sps,3
11,34,Terminalia paniculata,1
12,34,Tabernaemontana heyneana,1
13,34,Tectona grandis,1
14,34,Cycas circinalis,1
15,34,Eupatorium odoratum,1
16,34,Cassia alata,1
17,34,Zizyphus rugosa,1
18,34,Stachytarpheta indica,2
19,34,Osbeckia sps,1
20,35,Chionanthus mala-elengi,7
21,35,Goniothalamus nervosum,6
22,35,Mitragyna parviflora,2
23,35,Aporusa lindleyana,3
24,35,Zizyphus rugosa,1
25,35,Xanthophyllum arnottianum,2
26,35,Leea indica,1
27,35,Holoptelea integrifolia,1
28,35,Schleichera oleosa,3
29,35,Desmos lawii,1
30,35,Kunsleria keralensis,3
31,35,Psychotria anamalayana,1
32,35,Chasalia curviflora,2
33,35,Vitis sps,1
34,35,Canthium rheedei,1
35,35,Mikania scandens,1
36,35,Polyalthia fragrans,2
37,35,Clerodendrum viscosum,1
38,35,Chionanthus mala-elengi,3
39,35,Desmos lawii,2
40,35,Tabernaemontana heyneana,1
41,35,Alangium lamarckii,2
42,35,Artocarpus hirsuta,1
43,35,Xanthophyllum arnottianum,1
44,35,Unona pannosa,3
45,36,Mikania scandens,1
46,36,Terminalia paniculata,1
47,36,Clerodendrum viscosum,3
48,36,Stachytarpheta indica,2
49,36,Zizyphus oenoplia,2
50,36,Eupatorium odoratum,10
51,36,Dillenia pentagyna,2
52,36,Xylia xylocarpa,2
53,36,Tectona grandis,1
54,36,Hibiscus furcatus,1
55,36,Anogeissus latifolia,1
56,36,Holarrhena antidysenterica,1
57,36,Eupatorium odoratum,20
58,37,Aporusa lindleyana,8
59,37,Holarrhena antidysenterica,1
60,37,Clerodendrum viscosum,1
61,37,Calycopteris floribunda,1
62,37,Eupatorium odoratum,19
63,37,Stachytarpheta indica,5
64,37,Dioscorea oppositifolia,1
65,38,Holarrhena antidysenterica,2
66,38,Xylia xylocarpa,1
67,38,Tabernaemontana heyneana,2
68,38,Calycopteris floribunda,3
69,38,Clerodendrum viscosum,1
70,38,Mitragyna parviflora,1
71,39,Osbeckia sps,1
72,39,Eupatorium odoratum,7
73,39,Osbeckia sps,7
74,39,Stachytarpheta indica,1
75,39,Terminalia paniculata,3
76,40,Aporusa lindleyana,14
77,40,Macaranga peltata,1
78,40,Clerodendrum viscosum,1
79,40,Blepharistemma corymbosa,1
80,40,Strychnos nux-vomica,1
81,40,Eupatorium odoratum,4
82,40,Schleichera oleosa,1
83,40,Aporusa lindleyana,7
84,40,Clerodendrum viscosum,27
85,40,Glochidion zeylanica,1
86,40,Calycopteris floribunda,2
87,40,Macaranga peltata,1
88,41,Aporusa lindleyana,1
89,41,Eupatorium odoratum,1
90,41,Aporusa lindleyana,3
91,41,Wrightia tinctoria,1
92,41,Eupatorium odoratum,22
93,42,Tectona grandis,4
94,42,Eupatorium odoratum,9
95,42,Strychnos nux-vomica,1
96,42,Tectona grandis,3
97,42,Eupatorium odoratum,16
98,36,Mitragyna parviflora,1
