Region,Area (in sq. km.),OBSERVED # Species,Accurate_Subset
,A,S,Yes
IISc,1.5,156,Yes
Silent Valley,89.52,190,No
Chimmini ,90,160,No
Eravikulam,97,74,No
Mudumalai,217.76,236,Yes
Madumalai,217.76,236,No
Kalakkad,223.58,93,No
Koyna,423.55,156,No
Dandeli,843.16,153,No
Goa,3660,161,No
Islands,6682.2,168,No
Uttar Kannada,10327,276,Yes
Kerala,38863,469,Yes
Desert,67272,415,No
Coast,165166,285,No
Northeastern Hills,171340,762,No
Western Ghats,199792,479,Yes
Trans Himalaya,200036,421,No
Himalaya,283416,827,No
Maharashtra,308000,135,No
Gangetic Plains,459163,458,No
Semi Arid,1365570,368,No
Deccan,1369374,465,No
India,3200000,1233,NA
