P-TC1,P-TC2,P-TC3,P-TC4,TC1-TC2,TC2-TC3,TC3-TC4
5.65,6.45,6.29,5.24,3.63,3.36,3.3
6.46,6.72,5.97,5.49,3.71,3.46,3.15
6.68,7.1,6.41,5.69,3.37,3.82,4.9
5.4,6.37,6.56,6.92,4,4.19,3.05
5.46,6.07,5.99,5.76,3.88,3.58,4.31
5.34,6.48,6.63,6.09,3.3,2.74,3.62
6,6.23,5.6,5.29,3.57,3.01,3.29
6.25,5.51,5.87,5.47,3.7,3.49,4.3
5.92,6.29,5.31,5.07,3.88,2.83,2.78
5.08,5.9,6.91,6.24,4.21,3.58,3.52
6.07,5.99,5.96,5.5,2.88,3.46,4.31
5.9,5.9,5.88,5.15,3.27,3.24,2.95
6.53,7.43,7.44,6.4,4.38,4.77,4.77
6.61,8.04,7.02,5.75,5.17,4.16,3.97
6.94,7.63,6.45,6.41,4.49,3.77,3.47
7.67,7.5,6.33,5.49,3.41,3.62,5.06
7.84,8.1,6.7,5.74,4.1,4.29,5.06
6.39,7.12,6.8,5.57,4.13,3.7,4.13
6.66,7.04,6.33,5.46,4.3,3.47,3.63
6.83,6.97,5.96,5.36,4.07,3.43,3.54
7.14,7.48,6.45,5.34,4.21,3.39,3.56
7.11,8.11,6.97,6.25,4.06,4.03,4.14
6.87,7.42,6.61,6.15,4.11,3.85,3.63
6.83,7.63,6.62,5.46,3.98,3.44,4.39
7.51,7.68,6.45,5.73,3.15,3.65,4.56
8.51,8.26,7.53,5.62,4.73,4.2,5.17
7.26,8.27,7.09,6.01,4.14,3.92,4.05
6.91,6.94,6.15,5.08,4.17,3.25,4.21
6.91,7.82,6.84,5.79,4.53,3.81,3.93
6.93,7.43,6.27,5.42,4.15,3.73,3.71
6.98,7.65,6.54,5.4,4.07,3.84,3.63
6.93,7.49,7.6,7.44,4.86,4.64,4.71
6.97,6.83,6.24,6.08,4.65,4.13,3.74
6.93,7.73,6.59,5.46,4.01,3.46,4.16
7.74,7.65,6.45,5.28,3.92,4.05,5.65
7.5,7.35,6.42,6.08,3.74,4.02,4.24
5.34,6.32,6.36,6.83,3.87,3.27,3.97
5.51,6.52,6.33,5.48,3.38,3.27,2.95
6.32,6.88,6.63,5.46,4.56,3.72,4.17
5.73,6.24,6.14,5.48,3.15,3.35,3.03
6.67,7.29,6.18,5.24,4.44,3.63,4.23
7.11,7.43,7.06,5.31,4.49,4.7,5.33
5.52,7.11,7.54,7.06,4.84,4.06,4.23
5.82,7.39,7.83,6.72,5.07,4.49,4.16
5.77,6.82,6.02,4.89,3.65,3.12,3.46
6.41,7.67,7.09,6.15,4.38,3.65,3.37
6.72,7.04,5.96,5.7,4.32,3.46,3.68
6.09,7.63,7.5,6.2,4.51,4.06,4.34
6.61,7.21,6.41,5.81,3.6,3.39,2.87
5.55,8.02,7.26,6.48,5.23,3.31,3.54
5.77,6.37,6.33,4.9,3.29,2.88,3.79
6.35,7.15,6.89,5.89,4.64,3.59,4.27
6.11,7.11,6.42,5.42,3.56,3.7,3.17
6.6,7.59,6.8,4.7,4.6,3.22,4
4.97,6.53,5.49,5.33,3.17,2.95,2.68
5.44,6.2,6.36,5.59,3.05,3.18,2.88
5.23,6.91,6.9,6.15,3.54,2.55,3.8
5.13,6.92,6.83,5.46,3.79,3.14,3.36
6.29,7.29,7.97,6.51,3.32,4.79,4
5.48,7.17,6.31,5.07,3.54,3.06,3.96
6.88,7.43,8.18,6.63,4.98,4.67,4.6
8.13,8.21,7.23,5.79,4.14,4.53,5.23
5.72,7.03,6.89,5.87,3.91,2.83,4.27
6.32,7.18,6.68,5.84,3.6,3.36,3.13
6.08,7.29,6.26,6.1,3.67,3.04,3.21
5.16,6.42,5.7,5.31,3.65,3.32,2.81
5.07,5.48,6.09,5.93,2.83,2.99,3.04
5.89,6.27,6.37,5.84,2.88,3.35,3.2
6.4,6.3,5.78,5.03,3.31,3.14,4.05
5.56,6.2,6.93,6.05,4.17,3.46,3.54
6.84,6.49,5.87,5.31,3.97,2.87,3.7
5.06,5.88,7.19,6.18,4.58,3.96,2.64
6.92,7.96,7.04,5.9,3.97,3.51,3.88
6.58,7.29,6.48,5.56,3.8,3.41,3.54
7.35,7.27,6.52,5.42,3.87,3.39,3.37
5.99,6.71,6.11,5.98,4.23,2.87,2.88
5.68,6.97,6.71,6.32,4.39,3.84,3.97
6.27,7.2,6.46,5.49,3.8,3,3.15
