Frog Group,Treatment,Site,Eggs failed to hatch
Toad,No filter,1,6
Toad,No filter,1,4.7
Toad,No filter,1,0.7
Toad,No filter,1,NA
Toad,No filter,2,1.5
Toad,No filter,2,0.8
Toad,No filter,2,2.9
Toad,No filter,2,3.9
Toad,UV-B transmitting,1,0.9
Toad,UV-B transmitting,1,6.7
Toad,UV-B transmitting,1,2.7
Toad,UV-B transmitting,1,0.7
Toad,UV-B transmitting,2,0.7
Toad,UV-B transmitting,2,2.1
Toad,UV-B transmitting,2,0
Toad,UV-B transmitting,2,1.4
Toad,UV-B blocking,1,4.7
Toad,UV-B blocking,1,0.7
Toad,UV-B blocking,1,4.7
Toad,UV-B blocking,1,0.7
Toad,UV-B blocking,2,4.5
Toad,UV-B blocking,2,0
Toad,UV-B blocking,2,0
Toad,UV-B blocking,2,0
Tree frog,No filter,1,38.7
Tree frog,No filter,1,44
Tree frog,No filter,1,30
Tree frog,No filter,1,38.7
Tree frog,No filter,2,36.7
Tree frog,No filter,2,69.6
Tree frog,No filter,2,39.3
Tree frog,No filter,2,34
Tree frog,UV-B transmitting,1,28.7
Tree frog,UV-B transmitting,1,32.7
Tree frog,UV-B transmitting,1,36
Tree frog,UV-B transmitting,1,40.7
Tree frog,UV-B transmitting,3,70
Tree frog,UV-B transmitting,3,54
Tree frog,UV-B transmitting,3,48.7
Tree frog,UV-B transmitting,3,51.3
Tree frog,UV-B blocking,2,25.3
Tree frog,UV-B blocking,2,18.7
Tree frog,UV-B blocking,2,21.3
Tree frog,UV-B blocking,2,16.7
Tree frog,UV-B blocking,3,24.7
Tree frog,UV-B blocking,3,25.3
Tree frog,UV-B blocking,3,39.3
Tree frog,UV-B blocking,3,32.7
Cascade frog,No filter,2,42
Cascade frog,No filter,2,50.7
Cascade frog,No filter,2,32.7
Cascade frog,No filter,2,44
Cascade frog,No filter,3,54
Cascade frog,No filter,3,54.7
Cascade frog,No filter,3,48
Cascade frog,No filter,3,36.7
Cascade frog,UV-B transmitting,2,47.3
Cascade frog,UV-B transmitting,2,22
Cascade frog,UV-B transmitting,2,37.3
Cascade frog,UV-B transmitting,2,43.3
Cascade frog,UV-B transmitting,3,46
Cascade frog,UV-B transmitting,3,46.7
Cascade frog,UV-B transmitting,3,36
Cascade frog,UV-B transmitting,3,35.3
Cascade frog,UV-B blocking,2,18.7
Cascade frog,UV-B blocking,2,17.3
Cascade frog,UV-B blocking,2,16
Cascade frog,UV-B blocking,2,4.7
Cascade frog,UV-B blocking,3,12.7
Cascade frog,UV-B blocking,3,17.3
Cascade frog,UV-B blocking,3,31.3
Cascade frog,UV-B blocking,3,17.3
