City,p H,Conductivity (microS/cm),Total Dissolved Slod (mg/l),Alkalinity as CaCO3 (mg/l),Total Hardness as CaCO3 (mg/l),Calcium Hardness as CaCO3 (mg/l),Magnesium Hardness as as CaCO3 (mg/l),Chlorides as CL (mg/l),Sulphates as SO4 (mg/l)
City1,6.9,490,336,104,110,73,37,72,13
City1,7.1,490,334,72,90,64,26,70,29
City1,7.4,490,348,104,110,75,35,74,14
City1,7.2,500,342,78,88,58,30,61,32
City1,7.2,560,336,86,106,64,42,70,9
City1,8.2,496,333,82,88,60,28,96,23
City1,7.3,550,342,122,104,63,41,77,9
City1,8.2,510,355,102,92,62,35,74,21
City1,7.3,560,354,114,102,64,38,76,10
City1,8.4,494,347,102,96,65,31,96,29
City1,7.1,560,332,118,104,60,44,78,11
City1,8.4,496,349,104,94,54,40,96,21
City1,6.9,950,659,198,182,104,77,97,30
City1,7.4,1090,794,140,225,160,65,155,135
City1,6.9,500,346,107,112,61,51,78,13
City2,7.3,2310,1428,420,360,130,230,330,162
City2,7.3,2690,1448,550,280,100,180,410,139
City2,7,980,584,300,260,100,160,180,13
City2,7.2,1775,1012,400,170,60,110,230,69
City2,6.8,1140,684,210,170,50,120,100,28
City2,7.5,1745,994,350,140,50,90,180,48
City2,6.9,1990,1224,430,250,80,170,160,134
City2,7.3,2270,1248,510,200,30,170,190,131
City2,6.9,1140,678,250,220,100,120,150,132
City2,7.6,1855,1056,450,210,60,150,210,102
City2,7.3,1770,1060,330,280,110,170,260,130
City2,7.3,1900,1082,420,210,50,160,300,96
City2,7.3,1970,1216,300,300,100,200,270,173
City2,7.3,2210,1214,370,260,80,180,350,147
City2,7.2,2210,1366,430,270,90,180,240,117
City3,7.1,220,123,80,84,48,36,6,14
City3,7.4,312,174,432,180,80,100,12,6.3
City3,7.2,240,134,76,86,46,40,10,13.5
City3,7.4,280,156,116,168,96,72,14,6.3
City3,7.1,1800,1186,344,492,252,240,25,25
City3,7.3,1826,1022,324,588,348,240,382,13.9
City3,7.1,1837,1194,356,422,228,194,369,23
City3,7.2,1838,1076,312,560,356,204,368,11.4
City3,6.8,711,415,368,238,100,138,40,4.5
City3,7.2,819,476,340,236,116,220,28,6.7
City3,6.9,925,576,336,256,124,132,91,7
City3,7.2,780,444,344,248,88,160,54,0.6
City3,7.0,215,120,76,72,56,16,16,12
City3,7.6,320,174,144,156,96,60,14,6.2
City3,7.0,200,110,76,76,48,28,8,8
City4,7.4,105,63,48,48,28,20,28,14
City4,7.5,119,81,48,56,28,28,7.8,2.7
City4,7.1,114,68,40,48,24,24,8.3,14.4
City4,7.6,124,86,53,58,28,30,8.8,2.5
City4,7.8,323,190,104,202,100,102,17.5,34
City4,7.6,614,331,178,276,142,134,64,38
City4,7.2,124,74,40,64,24,40,4.6,22.5
City4,7.7,146,90,51,62,34,28,12.7,4.2
City4,7.2,94,56,40,62,34,28,5.5,6
City4,8.1,149,85,55,58,30,28,12.6,5
City4,7.3,148,87,52,64,32,32,6.5,25
City4,7.9,149,82,48,62,28,34,13.4,1.5
City4,7.3,143,83,48,56,32,24,6.5,25.7
City4,7.8,149,91,53,64,28,36,9.5,6
City4,7.3,120,71,40,44,28,18,1.8,24.2
City4,8.7,96,57,46,45,32,13,5.3,3.2
City4,7.1,95,66,44,50,30,20,15.5,5.8
City4,7.9,105,73,48,52,30,22,5.7,1
