SR_NO,PRE_TEST,POST_TEST,Subject_Code,Subject_Name
1,12,19,1,Chemistry
2,13,19,1,Chemistry
3,8,19,1,Chemistry
4,9,19,1,Chemistry
5,10,18,1,Chemistry
6,7,19,1,Chemistry
7,10,18,1,Chemistry
8,12,19,1,Chemistry
9,12,19,1,Chemistry
10,3,14,1,Chemistry
11,8,15,1,Chemistry
12,8,19,1,Chemistry
13,10,17,1,Chemistry
14,9,18,1,Chemistry
15,12,18,1,Chemistry
16,9,18,2,Botany
17,12,16,2,Botany
18,12,16,2,Botany
19,7,17,2,Botany
20,13,17,2,Botany
21,14,18,2,Botany
22,6,17,2,Botany
23,6,17,2,Botany
24,10,16,2,Botany
25,5,14,2,Botany
26,7,15,2,Botany
27,13,20,2,Botany
28,10,17,2,Botany
29,8,18,2,Botany
30,8,12,2,Botany
31,9,16,2,Botany
32,9,17,2,Botany
33,11,18,2,Botany
34,9,18,2,Botany
35,8,15,3,Microbiology_SYBSc
36,10,17,3,Microbiology_SYBSc
37,10,18,3,Microbiology_SYBSc
38,9,18,3,Microbiology_SYBSc
39,5,18,3,Microbiology_SYBSc
40,12,18,3,Microbiology_SYBSc
41,14,19,3,Microbiology_SYBSc
42,13,19,3,Microbiology_SYBSc
43,12,18,3,Microbiology_SYBSc
44,14,19,3,Microbiology_SYBSc
45,12,16,3,Microbiology_SYBSc
46,8,17,3,Microbiology_SYBSc
47,10,17,3,Microbiology_SYBSc
48,11,18,3,Microbiology_SYBSc
49,12,20,3,Microbiology_SYBSc
50,13,20,3,Microbiology_SYBSc
51,11,19,3,Microbiology_SYBSc
52,14,20,3,Microbiology_SYBSc
53,9,19,3,Microbiology_SYBSc
54,12,20,3,Microbiology_SYBSc
55,9,19,3,Microbiology_SYBSc
56,15,18,4,Microbiology_Special
57,17,19,4,Microbiology_Special
58,15,18,4,Microbiology_Special
59,14,19,4,Microbiology_Special
60,14,19,4,Microbiology_Special
61,15,19,4,Microbiology_Special
62,15,20,4,Microbiology_Special
63,12,20,4,Microbiology_Special
64,17,19,4,Microbiology_Special
65,12,19,5,Microbiology_Special
66,15,19,5,Zoology
67,16,20,5,Zoology
68,14,20,5,Zoology
69,16,19,5,Zoology
70,14,19,5,Zoology
71,15,19,5,Zoology
72,15,19,5,Zoology
