serial number,Family code,FHT,MHT,# children,SEX C1,AGE C1,HT C1,SEX C2,AGE C2,HT C2,SEX C3,AGE C3,HT C3,SEX C4,AGE C4 ,HT C4
1,11,167.0,161.0,3,0,18.0,156.0,1,15.00,158.0,0,13,126.0,,,
2,12,166.0,164.0,2,0,10.0,115.0,0,6.00,109.0,,,,,,
3,13,169.0,166.0,2,0,8.0,110.0,1,6.00,105.0,,,,,,
4,14,163.0,158.0,1,1,2.0,59.0,,,,,,,,,
5,15,165.0,160.0,2,0,12.0,124.0,1,7.00,108.0,,,,,,
6,16,167.0,164.0,2,0,10.0,117.0,1,6.00,103.0,,,,,,
7,17,163.0,157.0,2,1,12.0,122.0,1,9.00,114.0,,,,,,
8,18,167.0,162.0,3,0,18.0,158.0,0,15.00,154.0,0,12,124.0,,,
9,19,164.0,160.0,3,1,17.0,158.0,1,14.00,152.0,1,10,128.0,,,
10,110,166.0,164.0,3,0,12.0,127.0,1,10.00,129.0,1,7,124.0,,,
11,111,167.0,163.0,2,0,17.0,157.0,1,15.00,156.0,,,,,,
12,112,164.0,159.0,3,0,12.0,126.0,0,10.00,125.0,1,7,117.0,,,
13,113,169.0,165.0,2,0,4.0,62.0,1,1.00,39.0,,,,,,
14,114,168.0,163.0,3,0,9.0,125.0,1,5.00,64.0,1,3,62.0,,,
15,115,166.0,162.0,3,0,19.0,160.0,0,15.00,155.0,1,12,129.0,,,
16,116,167.0,163.0,3,1,21.0,167.0,1,17.00,160.0,1,12,129.0,,,
17,81,167.0,162.0,4,0,19.0,164.0,0,18.00,157.0,1,17,173.0,1,14,152
18,82,158.0,155.0,1,1,3.0,60.0,,,,,,,,,
19,83,178.0,156.0,1,0,5.0,116.0,,,,,,,,,
20,84,165.0,154.0,4,0,17.0,154.0,0,16.00,148.0,0,14,153.0,0,13,137
21,85,157.0,151.0,3,0,16.0,160.0,0,11.00,142.0,0,6,120.0,,,
22,86,166.0,158.0,3,0,16.0,154.0,0,14.00,160.0,0,9,121.0,,,
23,87,179.0,153.0,3,0,9.0,124.0,0,7.00,112.0,0,3,59.0,,,
24,88,175.0,150.0,4,0,30.0,157.0,0,29.00,153.0,0,23,180.0,0,20,153
25,89,153.0,152.0,1,0,1.0,59.0,,,,,,,,,
26,810,165.0,148.0,1,1,4.0,122.0,,,,,,,,,
27,811,151.0,150.0,2,1,3.0,65.0,1,2.00,52.0,,,,,,
28,812,157.0,154.0,1,0,2.0,58.0,,,,,,,,,
29,813,169.0,158.0,3,1,28.0,165.0,1,27.00,171.0,1,25,168.0,,,
30,814,168.0,156.0,4,0,11.0,125.0,0,9.00,127.0,1,7,112.0,1,4,70
31,815,151.0,149.0,1,1,2.0,58.0,,,,,,,,,
32,816,166.0,161.0,2,1,6.0,96.0,1,1.00,57.0,,,,,,
33,131,181.0,135.0,2,1,18.0,170.0,0,16.00,170.0,,,,,,
34,132,160.0,150.0,4,1,18.0,163.0,0,17.00,152.0,0,13,146.0,1,12,144
35,133,165.0,160.0,3,0,18.0,160.0,0,15.00,147.0,1,14,155.0,,,
36,134,169.0,130.0,2,1,9.0,127.0,0,7.00,120.0,,,,,,
37,135,165.0,162.0,3,1,9.0,175.0,1,20.00,169.0,0,16,170.0,,,
38,136,165.0,145.0,2,0,15.0,140.0,0,18.00,150.0,,,,,,
39,137,180.0,150.0,2,1,18.0,170.0,1,10.00,130.0,,,,,,
40,138,175.0,150.0,2,0,15.0,130.0,1,9.00,100.0,,,,,,
41,139,150.0,135.0,1,1,18.0,170.0,,,,,,,,,
42,1310,150.0,140.0,3,1,10.0,125.0,1,10.00,120.0,0,9,110.0,,,
43,1311,171.0,147.0,2,0,20.0,165.0,1,19.00,160.0,,,,,,
44,1312,150.0,147.0,2,1,16.0,150.0,1,14.00,147.0,,,,,,
45,1313,165.0,150.0,2,1,24.0,174.0,1,21.00,170.0,,,,,,
46,1314,167.0,160.0,1,0,20.0,160.0,,,,,,,,,
