life,Low(1)/Verylow(0)
54.6,1
54,1
53.8,1
53.3,1
52.9,1
52.7,1
52.5,1
52.4,1
52,1
51.8,1
51.3,1
51.3,1
51,1
50.8,1
50.3,1
50.1,1
49.8,1
48.7,1
48.3,1
48.1,1
47.6,1
47.6,1
47.6,1
47.5,1
47.5,1
47.5,1
50.5,1
47.5,1
46.4,1
45.3,1
45.7,1
44.2,1
43.8,1
43.8,1
43.7,1
43.6,1
43.6,1
43.3,1
43.2,1
43.1,1
42.7,1
42.7,1
42.5,1
42.3,1
42.2,1
42.2,1
41.6,1
40.8,1
40.3,1
40,1
38.9,1
37.2,1
36.7,1
36.6,1
36.1,1
33.9,1
31,1
29.4,1
19.6,1
47.6,1
51.9,1
51.7,1
51.4,1
51.3,1
50.9,1
50.5,1
50.5,1
50.2,1
50,1
49.4,1
49.2,1
49.2,0
49.1,0
49.1,0
49.1,0
49.1,0
48.7,0
48.3,0
48.1,0
48,0
47.8,0
47.7,0
47.6,0
47.5,0
47.3,0
47.2,0
46.9,0
46.7,0
46.5,0
46.3,0
45.6,0
45.2,0
45.1,0
44.4,0
43.9,0
43.6,0
42.9,0
42.7,0
42.6,0
42.5,0
42.4,0
42,0
41.5,0
41.3,0
40.9,0
40.7,0
40.4,0
39.9,0
39.4,0
38.9,0
38.2,0
37.7,0
37.6,0
37.2,0
35.4,0
35.4,0
35.2,0
34.3,0
32.7,0
32.5,0
31.8,0
31.1,0
30.9,0
29.8,0
26.8,0
25.7,0
25.1,0
23.5,0
18.6,0
42.4,0
48.1,0
