system,operator,valve,size,mode,number of failures,time(multiplied by 43800)hours
containment,motor driven,gate,10-30 inches,normally closed,2,4
containment,motor driven,gate,10-30 inches,normally open,2,4
containment,motor driven,globe,less than 2inches,normally closed,1,2
nuclear,air,butterfly,2-10 inches,normally open,0,2
nuclear,air,diaphragm,2-10 inches,normally closed,0,2
nuclear,air,diaphragm,2-10 inches,normally open,0,1
nuclear,air,globe,less than 2inches,normally closed,2,4
nuclear,air,globe,less than 2inches,normally open,4,6
nuclear,air,globe,2-10 inches,normally closed,1,1
nuclear,air,globe,2-10 inches,normally open,2,1
nuclear,solenoid,globe,2-10 inches,normally open,3,2
nuclear,motor driven,gate,2-10 inches,normally closed,0,2
nuclear,motor driven,gate,2-10 inches,normally open,0,4
nuclear,motor driven,gate,10-30 inches,normally closed,0,3
nuclear,motor driven,gate,10-30 inches,normally open,0,1
nuclear,motor driven,globe,less than 2inches,normally closed,1,2
nuclear,motor driven,globe,2-10 inches,normally open,0,4
nuclear,motor driven,globe,10-30 inches,normally open,0,2
nuclear,manual,diaphragm,less than 2inches,normally open,0,1
nuclear,manual,diaphragm,2-10 inches,normally closed,0,1
nuclear,manual,gate,less than 2inches,normally closed,2,1
nuclear,manual,globe,2-10 inches,normally closed,0,2
power conversion,air,ball,2-10 inches,normally closed,1,36
power conversion,air,ball,2-10 inches,normally open,2,4
power conversion,air,ball,10-30 inches,normally open,0,2
power conversion,air,butterfly,2-10 inches,normally closed,0,2
power conversion,air,butterfly,10-30 inches,normally closed,3,8
power conversion,air,diaphragm,2-10 inches,normally closed,1,15
power conversion,air,diaphragm,2-10 inches,normally open,0,4
power conversion,air,gate,less than 2inches,normally closed,0,1
power conversion,air,gate,less than 2inches,normally open,0,2
power conversion,air,gate,2-10 inches,normally closed,5,11
power conversion,air,gate,2-10 inches,normally open,23,6
power conversion,air,gate,10-30 inches,normally open,21,4
power conversion,air,globe,less than 2inches,normally closed,0,4
power conversion,air,globe,less than 2inches,normally open,0,4
power conversion,air,globe,2-10 inches,normally closed,11,31
power conversion,air,globe,2-10 inches,normally open,3,31
power conversion,air,globe,10-30 inches,normally open,2,1
power conversion,air,directional control,2-10 inches,normally closed,1,2
power conversion,air,directional control,2-10 inches,normally open,0,1
power conversion,air,directional control,10-30 inches,normally open,0,1
power conversion,solenoid,directional control,2-10 inches,normally open,1,2
power conversion,motor driven,butterfly,2-10 inches,normally closed,0,1
power conversion,motor driven,butterfly,10-30 inches,normally open,0,1
power conversion,motor driven,gate,less than 2inches,normally closed,0,7
power conversion,motor driven,gate,less than 2inches,normally open,0,4
power conversion,motor driven,gate,2-10 inches,normally closed,8,8
power conversion,motor driven,gate,2-10 inches,normally open,0,3
power conversion,motor driven,gate,10-30 inches,normally closed,13,2
power conversion,motor driven,gate,10-30 inches,normally open,3,3
power conversion,motor driven,globe,less than 2inches,normally open,0,3
power conversion,motor driven,globe,2-10 inches,normally open,0,5
power conversion,manual,gate,2-10 inches,normally open,1,4
power conversion,manual,gate,10-30 inches,normally open,1,10
power conversion,manual,globe,2-10 inches,normally open,0,4
safety,motor driven,diaphragm,10-30 inches,normally open,2,1
safety,motor driven,gate,2-10 inches,normally closed,2,8
safety,motor driven,gate,2-10 inches,normally open,0,4
safety,motor driven,gate,10-30 inches,normally open,7,3
safety,motor driven,globe,less than 2inches,normally open,0,1
process auxiliary,air,butterfly,2-10 inches,normally closed,0,3
process auxiliary,air,butterfly,2-10 inches,normally open,0,2
process auxiliary,air,butterfly,10-30 inches,normally closed,0,1
process auxiliary,air,butterfly,10-30 inches,normally open,0,5
process auxiliary,air,diaphragm,less than 2inches,normally closed,0,1
process auxiliary,air,diaphragm,less than 2inches,normally open,0,3
process auxiliary,air,diaphragm,2-10 inches,normally open,0,2
process auxiliary,air,gate,2-10 inches,normally closed,3,4
process auxiliary,air,gate,2-10 inches,normally open,0,4
process auxiliary,air,globe,less than 2inches,normally closed,3,1
process auxiliary,air,globe,less than 2inches,normally open,2,3
process auxiliary,air,globe,2-10 inches,normally open,0,8
process auxiliary,air,directional control,less than 2inches,normally closed,0,1
process auxiliary,air,directional control,2-10 inches,normally open,0,2
process auxiliary,solenoid,diaphragm,2-10 inches,normally open,0,11
process auxiliary,solenoid,gate,less than 2inches,normally closed,0,1
process auxiliary,motor driven,butterfly,2-10 inches,normally closed,0,1
process auxiliary,motor driven,butterfly,2-10 inches,normally open,0,2
process auxiliary,motor driven,butterfly,10-30 inches,normally closed,2,4
process auxiliary,motor driven,butterfly,10-30 inches,normally open,0,2
process auxiliary,motor driven,gate,2-10 inches,normally closed,2,5
process auxiliary,motor driven,gate,2-10 inches,normally open,1,14
process auxiliary,motor driven,globe,2-10 inches,normally open,0,2
process auxiliary,manual,diaphragm,less than 2inches,normally closed,1,5
process auxiliary,manual,diaphragm,less than 2inches,normally open,0,2
process auxiliary,manual,diaphragm,2-10 inches,normally closed,0,3
process auxiliary,manual,gate,less than 2inches,normally open,0,1
process auxiliary,manual,gate,2-10 inches,normally closed,0,1
process auxiliary,manual,globe,2-10 inches,normally open,0,1
